
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Ginger Beaumont,8,34,6,9,0,1,0,1,2,4,.265,.306,.324,.629,2,,0,141,613,137,209,7,68,23,.341,.833
Kitty Bransfield,8,29,3,6,0,2,0,1,1,6,.207,.233,.345,.578,1,,3,127,505,69,134,2,57,13,.265,.665
Fred Clarke,8,34,3,9,2,1,0,2,1,5,.265,.286,.382,.668,1,,1,104,427,88,150,5,70,21,.351,.946
Brickyard Kennedy,1,2,0,1,1,0,0,0,0,0,.500,.500,1.000,1.500,0,,0,23,58,7,21,0,10,0,.362,.918
Tommy Leach,8,33,3,9,0,4,0,7,1,4,.273,.294,.515,.809,1,,4,127,507,97,151,7,87,22,.298,.789
Sam Leever,2,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,36,115,11,19,0,12,0,.165,.376
Ed Phelps,8,26,1,6,2,0,0,1,1,6,.231,.259,.308,.567,0,,2,81,273,32,77,2,31,2,.282,.689
Deacon Phillippe,5,18,1,4,0,0,0,1,0,3,.222,.222,.222,.444,0,,1,37,124,20,26,0,16,0,.210,.520
Claude Ritchey,8,27,2,4,1,0,0,2,4,7,.148,.258,.185,.443,1,,0,138,506,66,145,0,59,15,.287,.741
Jimmy Sebring,8,30,3,10,0,1,1,4,1,4,.333,.355,.500,.855,0,,0,124,506,71,140,4,64,20,.277,.708
Harry Smith,1,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,1,61,212,15,37,0,19,2,.175,.430
Gus Thompson,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,5,16,0,4,0,3,0,.250,.544
Bucky Veil,1,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,,1,12,29,2,6,0,1,0,.207,.448
Honus Wagner,8,27,2,6,1,0,0,3,3,4,.222,.323,.259,.582,3,,6,129,512,97,182,5,101,46,.355,.931
Totals,75,270,24,64,7,9,1,22,14,45,.237,.277,.341,.618,9,,,141,4988,793,1429,34,,172,.286,.734
