
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jimmy Collins,8,36,5,9,1,2,0,1,1,1,.250,.270,.389,.659,3,,1,130,540,88,160,5,72,23,.296,.777
Lou Criger,8,26,1,6,0,0,0,4,2,3,.231,.286,.231,.516,0,,3,96,317,41,61,3,31,5,.192,.562
Bill Dinneen,4,11,1,2,0,0,0,0,2,2,.182,.308,.182,.490,0,,0,37,106,6,17,0,8,1,.160,.437
Patsy Dougherty,8,34,3,8,0,2,2,5,2,6,.235,.297,.529,.827,0,,1,139,590,107,195,4,59,35,.331,.796
Duke Farrell,2,2,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,,,17,52,5,21,0,8,1,.404,1.004
Hobe Ferris,8,31,3,9,0,1,0,5,0,6,.290,.313,.355,.667,0,,2,141,525,69,132,9,66,11,.251,.652
Buck Freeman,8,32,6,9,0,3,0,4,2,2,.281,.324,.469,.792,0,,0,141,567,74,163,13,104,5,.287,.823
Tom Hughes,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,33,93,14,26,1,13,1,.280,.707
Candy LaChance,8,27,5,6,2,1,0,4,3,2,.222,.300,.370,.670,0,,3,141,522,60,134,1,53,12,.257,.631
Jack O'Brien,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,,96,338,44,71,3,38,10,.210,.564
Freddy Parent,8,32,8,9,0,3,0,4,1,1,.281,.324,.469,.792,0,,3,139,560,83,170,4,80,24,.304,.767
Chick Stahl,8,33,6,10,1,3,0,3,1,2,.303,.324,.515,.839,2,,0,77,299,60,82,2,44,10,.274,.713
Cy Young,4,15,1,1,0,1,0,3,0,3,.067,.067,.200,.267,0,,1,41,137,21,44,1,14,2,.321,.771
Totals,77,281,39,69,4,16,2,34,14,29,.246,.289,.395,.684,5,,,141,4919,708,1336,48,,141,.272,.705
