
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Nick Altrock,2,4,0,1,0,0,0,0,1,1,.250,.400,.250,.650,0,,0,38,100,4,16,0,3,2,.160,.402
George Davis,3,13,4,4,3,0,0,6,0,1,.308,.308,.538,.846,1,,2,133,484,63,134,0,80,27,.277,.694
Jiggs Donahue,6,18,0,5,2,1,0,4,3,4,.278,.409,.500,.909,0,,1,154,556,70,143,1,57,36,.257,.638
Patsy Dougherty,6,20,1,2,0,0,0,1,3,3,.100,.217,.100,.317,2,,1,*87,305,33,69,1,31,11,.226,.577
Ed Hahn,6,22,4,6,0,0,0,0,1,1,.273,.333,.273,.606,0,,0,*141,506,82,112,0,28,23,.221,.588
Frank Isbell,6,26,4,8,4,0,0,4,0,6,.308,.308,.462,.769,1,,5,143,549,71,153,0,57,37,.279,.676
Fielder Jones,6,21,4,3,0,0,0,0,3,3,.143,.250,.143,.393,0,,0,144,496,77,114,2,34,26,.230,.648
Ed McFarland,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,,12,23,0,4,0,3,0,.174,.487
Bill O'Neill,1,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,94,330,37,82,1,21,19,.248,.577
Frank Owen,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,42,103,7,14,0,7,0,.136,.380
George Rohe,6,21,2,7,1,2,0,4,3,1,.333,.440,.571,1.011,2,,3,77,225,14,58,0,25,8,.258,.604
Billy Sullivan,6,21,0,0,0,0,0,0,0,9,.000,.000,.000,.000,0,,2,118,387,37,83,2,33,10,.214,.559
Lee Tannehill,3,9,1,1,0,0,0,0,0,2,.111,.111,.111,.222,0,,0,116,378,26,69,0,33,7,.183,.473
Babe Towne,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,,14,36,3,10,0,6,0,.278,.673
Ed Walsh,2,4,1,0,0,0,0,0,3,3,.000,.429,.000,.429,0,,1,42,99,12,14,0,4,0,.141,.387
Doc White,3,3,0,0,0,0,0,0,1,0,.000,.250,.000,.250,0,,0,29,65,11,12,0,3,3,.185,.551
Totals,59,187,22,37,10,3,0,19,18,35,.198,.279,.283,.562,6,,,154,4925,570,1133,7,,216,.230,.588
