
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Mordecai Brown,1,3,0,0,0,0,0,0,1,0,.000,.250,.000,.250,0,,0,36,85,6,13,1,7,0,.153,.398
Frank Chance,4,13,3,2,1,0,0,0,4,2,.154,.389,.231,.620,3,,0,111,382,58,112,1,49,35,.293,.756
Johnny Evers,5,20,2,7,2,0,0,1,0,1,.350,.350,.450,.800,3,,3,151,508,66,127,2,51,46,.250,.622
Del Howard,2,5,0,1,0,0,0,0,0,2,.200,.200,.200,.400,1,,0,*101,335,30,85,1,26,14,.254,.608
Johnny Kling,5,19,2,4,0,0,0,1,1,4,.211,.250,.211,.461,0,,1,104,334,44,95,1,43,9,.284,.728
Pat Moran,1,0,0,0,0,0,0,0,0,0,,,,,0,,,65,198,8,45,1,19,5,.227,.549
Orval Overall,2,5,0,1,0,0,0,2,0,1,.200,.200,.200,.400,0,,0,36,94,6,20,0,9,0,.213,.535
Jack Pfiester,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,30,64,4,6,0,1,0,.094,.269
Ed Reulbach,2,5,0,1,0,0,0,1,0,0,.200,.200,.200,.400,0,,0,27,63,4,11,1,3,0,.175,.426
Frank Schulte,5,20,3,5,0,0,0,2,1,2,.250,.286,.250,.536,0,,1,97,342,44,98,2,32,7,.287,.725
Jimmy Sheckard,5,21,0,5,2,0,0,2,0,4,.238,.273,.333,.606,1,,0,143,484,76,129,1,36,31,.267,.697
Jimmy Slagle,5,22,3,6,0,0,0,3,2,3,.273,.333,.273,.606,5,,1,136,489,71,126,0,32,28,.258,.653
Harry Steinfeldt,5,17,2,8,1,1,0,2,1,2,.471,.550,.647,1.197,1,,1,152,542,52,144,1,70,19,.266,.659
Joe Tinker,5,13,4,2,0,0,0,1,3,3,.154,.313,.154,.466,1,,3,117,402,36,89,1,36,20,.221,.540
Heinie Zimmerman,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,5,9,0,2,0,1,0,.222,.556
Totals,49,166,19,42,6,1,0,15,13,26,.253,.322,.301,.624,15,,,155,4892,574,1224,13,,235,.250,.628
