
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jimmy Archer,3,11,1,2,1,0,0,0,0,4,.182,.182,.273,.455,0,,0,98,313,36,81,2,41,6,.259,.663
Ginger Beaumont,3,2,1,0,0,0,0,0,1,1,.000,.333,.000,.333,0,,,76,172,30,46,2,22,4,.267,.716
Mordecai Brown,3,7,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,1,46,103,9,18,0,6,1,.175,.443
Frank Chance,5,17,1,6,1,1,0,4,0,2,.353,.353,.529,.882,0,,0,88,295,54,88,0,36,16,.298,.788
King Cole,1,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,,0,34,91,7,21,0,9,1,.231,.530
Solly Hofman,5,15,2,4,0,0,0,2,4,3,.267,.421,.267,.688,0,,0,136,477,83,155,3,86,29,.325,.867
John Kane,2,0,0,0,0,0,0,0,0,0,,,,,0,,,32,62,11,15,1,12,2,.242,.628
Johnny Kling,5,13,0,1,0,0,0,1,1,2,.077,.143,.077,.220,0,,0,91,297,31,80,2,32,3,.269,.714
Harry McIntire,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,1,30,66,3,17,1,8,0,.258,.633
Tom Needham,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,,31,76,9,14,0,10,1,.184,.537
Orval Overall,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,25,41,4,5,0,1,0,.122,.380
Jack Pfiester,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,14,33,1,3,0,2,0,.091,.234
Ed Reulbach,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,24,56,4,6,0,2,1,.107,.274
Lew Richie,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,*34,44,6,9,0,1,0,.205,.596
Frank Schulte,5,17,3,7,3,0,0,2,2,3,.412,.474,.588,1.062,0,,0,151,559,93,168,10,68,22,.301,.809
Jimmy Sheckard,5,14,5,5,2,0,0,1,7,2,.357,.571,.500,1.071,1,,1,144,507,82,130,5,51,22,.256,.729
Harry Steinfeldt,5,20,0,2,1,0,0,1,0,4,.100,.100,.150,.250,0,,4,129,448,70,113,2,58,10,.252,.640
Joe Tinker,5,18,2,6,2,0,0,0,2,2,.333,.400,.444,.844,1,,1,134,473,48,136,3,69,20,.288,.719
Heinie Zimmerman,5,17,0,4,1,0,0,2,1,3,.235,.278,.294,.572,1,,1,99,335,35,95,3,38,7,.284,.720
Totals,59,158,15,37,11,1,0,13,18,31,.234,.313,.316,.629,3,,,154,4977,712,1333,34,,173,.268,.710
