
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Home Run Baker,5,22,6,9,3,1,0,4,2,1,.409,.458,.636,1.095,0,,2,146,561,83,159,2,74,21,.283,.721
Jack Barry,5,17,3,4,2,0,0,3,1,3,.235,.316,.353,.669,0,,0,145,487,64,126,3,60,14,.259,.673
Chief Bender,2,6,1,2,0,0,0,1,1,1,.333,.429,.333,.762,0,,0,36,93,6,25,0,16,0,.269,.677
Eddie Collins,5,21,5,9,4,0,0,3,2,0,.429,.478,.619,1.097,4,,0,153,581,81,188,3,81,81,.324,.800
Jack Coombs,3,13,0,5,1,0,0,3,0,3,.385,.385,.462,.846,0,,2,46,132,20,29,0,9,3,.220,.512
Harry Davis,5,17,5,6,3,0,0,2,3,4,.353,.476,.529,1.006,0,,3,139,492,61,122,1,41,17,.248,.641
Topsy Hartsel,1,5,2,1,0,0,0,0,0,1,.200,.200,.200,.400,2,,0,90,285,45,63,0,22,11,.221,.630
Jack Lapp,1,4,0,1,0,0,0,1,0,2,.250,.250,.250,.500,0,,0,71,192,18,45,0,17,0,.234,.596
Bris Lord,5,22,3,4,2,0,0,1,1,3,.182,.217,.273,.490,0,,0,*128,489,77,124,1,37,10,.254,.684
Danny Murphy,5,20,6,8,3,0,1,9,1,0,.400,.429,.700,1.129,1,,0,151,560,70,168,4,64,18,.300,.774
Amos Strunk,4,18,2,5,1,1,0,2,2,5,.278,.350,.444,.794,0,,1,16,48,9,16,0,2,4,.333,.748
Ira Thomas,4,12,2,3,0,0,0,1,4,1,.250,.438,.250,.688,0,,1,60,180,14,50,1,19,2,.278,.662
Totals,45,177,35,57,19,2,1,30,17,24,.322,.388,.469,.857,7,,,155,5154,674,1373,19,,207,.266,.681
