
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Ted Cather,1,5,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,*89,244,30,70,0,40,11,.287,.697
Joe Connolly,3,9,1,1,0,0,0,1,1,1,.111,.200,.111,.311,0,,1,120,399,64,122,9,65,12,.306,.886
Charlie Deal,4,16,1,2,2,0,0,0,0,0,.125,.125,.250,.375,2,,0,79,257,17,54,0,23,4,.210,.546
Josh Devore,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,,*81,181,27,45,1,12,2,.249,.632
Johnny Evers,4,16,2,7,0,0,0,2,2,2,.438,.500,.438,.938,1,,1,139,491,81,137,1,40,12,.279,.728
Larry Gilbert,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,,,72,224,32,60,5,25,3,.268,.717
Hank Gowdy,4,11,3,6,3,1,1,3,5,1,.545,.688,1.273,1.960,1,,0,128,366,42,89,3,46,14,.243,.684
Bill James,2,4,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,,0,49,129,9,33,0,9,0,.256,.541
Les Mann,3,7,1,2,0,0,0,1,0,1,.286,.286,.286,.571,0,,0,126,389,44,96,4,40,9,.247,.668
Rabbit Maranville,4,13,1,4,0,0,0,3,1,1,.308,.400,.308,.708,2,,1,156,586,74,144,4,78,28,.246,.632
Herbie Moran,3,13,2,1,1,0,0,0,1,1,.077,.143,.154,.297,1,,1,*148,549,67,134,1,39,30,.244,.617
Dick Rudolph,2,6,1,2,0,0,0,0,1,1,.333,.429,.333,.762,0,,0,43,120,10,15,0,8,1,.125,.380
Butch Schmidt,4,17,2,5,0,0,0,2,0,2,.294,.294,.294,.588,1,,0,147,537,67,153,1,71,14,.285,.706
Lefty Tyler,1,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,38,94,6,19,0,4,0,.202,.447
Possum Whitted,4,14,2,3,0,1,0,2,3,1,.214,.353,.357,.710,1,,0,*86,249,39,61,2,32,11,.245,.653
Totals,41,135,16,33,6,2,1,14,15,18,.244,.325,.341,.665,9,,,158,5206,657,1307,35,,139,.251,.658
