
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Larry Cheney,1,0,0,0,0,0,0,0,0,0,,,,,0,,1,41,79,4,9,0,2,2,.114,.306
Jack Coombs,1,3,0,1,0,0,0,1,0,0,.333,.333,.333,.667,0,,0,27,61,2,11,0,3,0,.180,.419
George Cutshaw,5,19,2,2,1,0,0,2,1,1,.105,.190,.158,.348,0,,2,154,581,58,151,2,63,27,.260,.612
Jake Daubert,4,17,1,3,0,1,0,0,2,3,.176,.263,.294,.557,0,,0,127,478,75,151,3,33,21,.316,.769
Wheezer Dell,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,32,44,1,4,0,3,0,.091,.240
Gus Getz,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,,40,96,9,21,0,8,9,.219,.490
Jimmy Johnston,3,10,1,3,0,1,0,0,1,0,.300,.364,.500,.864,0,,1,118,425,58,107,1,26,22,.252,.640
Rube Marquard,2,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,36,63,3,9,0,5,1,.143,.369
Fred Merkle,3,4,0,1,0,0,0,1,2,0,.250,.500,.250,.750,0,,1,*135,470,51,111,7,46,19,.236,.644
Chief Meyers,3,10,0,2,0,1,0,0,1,0,.200,.273,.400,.673,0,,0,80,239,21,59,0,21,2,.247,.650
Otto Miller,2,8,0,1,0,0,0,0,0,1,.125,.125,.125,.250,0,,0,73,216,16,55,1,17,6,.255,.610
Mike Mowrey,5,17,2,3,0,0,0,1,3,2,.176,.300,.176,.476,0,,2,144,495,57,121,0,60,16,.244,.633
Hi Myers,5,22,2,4,0,0,1,3,0,3,.182,.217,.318,.536,0,,0,113,412,54,108,3,36,17,.262,.689
Ollie O'Mara,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,,72,193,18,39,0,15,10,.202,.497
Ivy Olson,5,16,1,4,0,1,0,2,2,2,.250,.333,.375,.708,0,,4,108,351,29,89,1,38,14,.254,.620
Jeff Pfeffer,4,4,0,1,0,0,0,0,0,2,.250,.250,.250,.500,0,,0,43,122,5,34,0,12,2,.279,.629
Nap Rucker,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,9,11,1,1,0,2,0,.091,.182
Sherry Smith,1,5,0,1,1,0,0,0,0,0,.200,.200,.400,.600,0,,0,38,77,4,21,0,7,1,.273,.655
Casey Stengel,4,11,2,4,0,0,0,0,0,1,.364,.364,.364,.727,0,,1,127,462,66,129,8,53,11,.279,.753
Zack Wheat,5,19,2,4,0,1,0,1,2,2,.211,.286,.316,.602,1,,1,149,568,76,177,9,73,19,.312,.828
Totals,57,170,13,34,2,5,1,11,14,19,.200,.269,.288,.557,1,,,156,5234,585,1366,28,,187,.261,.658
