
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Eddie Cicotte,3,8,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,,2,40,99,5,20,0,8,0,.202,.491
Eddie Collins,8,31,2,7,1,0,0,1,1,2,.226,.273,.258,.531,1,,2,140,518,87,165,4,80,33,.319,.805
Shano Collins,4,16,2,4,1,0,0,0,0,0,.250,.250,.313,.563,0,,0,63,179,21,50,1,16,3,.279,.681
Happy Felsch,8,26,2,5,1,0,0,3,1,4,.192,.222,.231,.453,0,,2,135,502,68,138,7,86,19,.275,.764
Chick Gandil,8,30,1,7,0,1,0,5,1,3,.233,.258,.300,.558,1,,1,115,441,54,128,1,60,10,.290,.709
Shoeless Joe Jackson,8,32,5,12,3,0,1,6,1,2,.375,.394,.563,.956,0,,0,139,516,79,181,7,96,9,.351,.928
Bill James,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,*20,39,4,6,0,2,0,.154,.349
Dickey Kerr,2,6,0,1,0,0,0,0,0,0,.167,.167,.167,.333,0,,0,39,68,12,17,0,4,1,.250,.661
Nemo Leibold,5,18,0,1,0,0,0,0,2,3,.056,.150,.056,.206,1,,0,122,434,81,131,0,26,17,.302,.756
Grover Lowdermilk,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,*27,35,1,3,0,1,1,.086,.171
Byrd Lynn,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,29,66,4,15,0,4,0,.227,.559
Erskine Mayer,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,*24,36,4,6,0,1,0,.167,.397
Fred McMullin,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,,,60,170,31,50,0,19,4,.294,.743
Eddie Murphy,3,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333,0,,,30,35,8,17,0,5,0,.486,1.171
Swede Risberg,8,25,3,2,0,1,0,0,5,3,.080,.233,.160,.393,1,,4,119,414,48,106,2,38,19,.256,.662
Ray Schalk,8,23,1,7,0,0,0,2,4,2,.304,.429,.304,.733,1,,1,131,394,57,111,0,34,11,.282,.687
Buck Weaver,8,34,4,11,4,1,0,0,0,2,.324,.324,.500,.824,0,,0,140,571,89,169,3,75,22,.296,.716
Roy Wilkinson,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,4,8,1,3,0,2,0,.375,1.069
Lefty Williams,3,5,0,1,0,0,0,0,0,3,.200,.200,.200,.400,0,,0,41,94,10,17,0,10,0,.181,.497
Totals,84,263,20,59,10,3,1,17,15,30,.224,.274,.297,.571,5,,,140,4675,667,1343,25,,150,.287,.731
