
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jake Daubert,8,29,4,7,0,1,0,1,1,2,.241,.290,.310,.601,1,,2,140,537,79,148,2,44,11,.276,.672
Pat Duncan,8,26,3,7,2,0,0,8,2,2,.269,.321,.346,.668,0,,0,31,90,9,22,2,17,2,.244,.717
Hod Eller,2,7,2,2,1,0,0,0,0,2,.286,.375,.429,.804,0,,0,38,93,10,26,1,13,2,.280,.696
Ray Fisher,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,,1,26,59,11,16,0,5,1,.271,.606
Heinie Groh,8,29,6,5,2,0,0,2,6,4,.172,.314,.241,.556,0,,3,122,448,79,139,5,63,21,.310,.823
Larry Kopf,8,27,3,6,0,2,0,3,3,2,.222,.300,.370,.670,0,,1,135,503,51,136,0,58,18,.270,.639
Dolf Luque,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,,0,31,32,3,4,0,2,0,.125,.419
Sherry Magee,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,,,56,163,11,35,0,21,4,.215,.601
Greasy Neale,8,28,3,10,1,1,0,4,2,5,.357,.400,.464,.864,1,,1,139,500,57,121,1,54,28,.242,.632
Bill Rariden,5,19,0,4,0,0,0,2,0,0,.211,.211,.211,.421,1,,1,74,218,16,47,1,24,4,.216,.560
Morrie Rath,8,31,5,7,1,0,0,2,4,1,.226,.333,.258,.591,2,,2,138,537,77,142,1,29,17,.264,.641
Jimmy Ring,2,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,,0,32,62,3,6,0,1,0,.097,.224
Edd Roush,8,28,6,6,2,1,0,7,3,0,.214,.333,.357,.690,2,,2,133,504,73,162,4,71,20,.321,.811
Dutch Ruether,3,6,2,4,1,2,0,4,1,0,.667,.714,1.500,2.214,0,,0,42,92,8,24,0,6,1,.261,.639
Slim Sallee,2,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,29,74,5,14,0,7,1,.189,.520
Jimmy Smith,1,0,0,0,0,0,0,0,0,0,,,,,0,,,28,40,9,11,1,10,1,.275,.866
Ivey Wingo,3,7,1,4,0,0,0,1,3,1,.571,.700,.571,1.271,0,,0,76,245,30,67,0,27,4,.273,.707
Totals,80,251,35,64,10,7,0,34,25,22,.255,.335,.351,.685,7,,,140,4577,577,1204,20,,143,.263,.669
