
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Dave Bancroft,8,33,3,5,1,0,0,3,1,5,.152,.176,.182,.358,0,1,1,153,606,121,193,6,67,17,.318,.830
Jesse Barnes,3,9,3,4,0,0,0,0,0,0,.444,.444,.444,.889,0,0,0,42,92,8,19,0,6,1,.207,.460
George Burns,8,33,2,11,4,1,0,2,3,5,.333,.389,.515,.904,1,1,0,149,605,111,181,4,61,19,.299,.781
Phil Douglas,3,7,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,40,81,7,16,1,10,1,.198,.485
Frankie Frisch,8,30,5,9,0,1,0,1,4,3,.300,.382,.367,.749,3,0,2,153,618,121,211,8,100,49,.341,.870
High Pockets Kelly,8,30,3,7,1,0,0,4,3,10,.233,.303,.267,.570,0,1,0,149,587,95,181,23,122,4,.308,.884
Irish Meusel,8,29,4,10,2,1,1,7,2,3,.345,.387,.586,.973,1,2,0,*146,586,96,201,14,87,13,.343,.895
Art Nehf,3,9,0,0,0,0,0,0,1,3,.000,.100,.000,.100,0,0,1,42,89,9,18,0,5,0,.202,.485
Johnny Rawlings,8,30,2,10,3,0,0,4,0,3,.333,.355,.433,.788,0,1,0,*146,561,60,156,2,46,8,.278,.656
Earl Smith,3,7,0,0,0,0,0,0,1,0,.000,.125,.000,.125,0,1,0,89,229,35,77,10,51,4,.336,.946
Frank Snyder,7,22,4,8,1,0,1,3,0,2,.364,.364,.545,.909,0,1,0,108,309,36,99,8,45,3,.320,.835
Fred Toney,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,42,86,11,18,3,12,1,.209,.553
Ross Youngs,8,25,3,7,1,1,0,4,7,2,.280,.438,.400,.838,2,1,0,141,504,90,165,3,102,21,.327,.868
Totals,77,264,29,71,13,4,2,28,22,38,.269,.328,.371,.699,7,9,,153,5278,840,1575,75,,137,.298,.781
