
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Ossie Bluege,7,26,2,5,0,0,0,3,3,4,.192,.276,.192,.468,1,0,3,117,402,59,113,2,49,7,.281,.711
Goose Goslin,7,32,4,11,1,0,3,7,0,7,.344,.344,.656,1.000,0,2,0,154,579,100,199,12,129,15,.344,.937
Bucky Harris,7,33,5,11,0,0,2,7,1,4,.333,.353,.515,.868,0,1,2,143,544,88,146,1,58,20,.268,.703
Walter Johnson,3,9,0,1,0,0,0,0,0,0,.111,.111,.111,.222,0,0,1,39,113,18,32,1,14,0,.283,.697
Joe Judge,7,26,4,10,1,0,0,0,5,2,.385,.484,.423,.907,0,1,1,140,516,71,167,3,79,13,.324,.843
Nemo Leibold,3,6,1,1,1,0,0,0,1,0,.167,.286,.333,.619,0,0,0,84,246,41,72,0,20,7,.293,.748
Firpo Marberry,4,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,50,59,6,8,0,1,0,.136,.333
John Martina,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,25,43,2,14,0,6,0,.326,.742
Earl McNeely,7,27,4,6,3,0,0,1,4,4,.222,.323,.333,.656,1,0,1,43,179,31,59,0,15,3,.330,.779
Ralph Miller,4,11,0,2,0,0,0,2,1,0,.182,.250,.182,.432,0,0,2,9,15,1,2,0,0,0,.133,.321
George Mogridge,2,5,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,30,74,7,13,0,5,0,.176,.424
Curly Ogden,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*22,50,3,13,0,6,0,.260,.615
Roger Peckinpaugh,4,12,1,5,2,0,0,2,1,0,.417,.462,.583,1.045,1,0,0,155,523,72,142,2,73,9,.272,.700
Sam Rice,7,29,2,6,0,0,0,1,3,2,.207,.281,.207,.488,2,0,1,154,646,106,216,1,76,24,.334,.825
Muddy Ruel,7,21,2,2,1,0,0,0,6,1,.095,.296,.143,.439,0,0,0,149,501,50,142,0,57,7,.283,.702
Allen Russell,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,37,18,2,5,0,0,0,.278,.742
Mule Shirley,3,2,1,1,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,,30,77,12,18,0,16,0,.234,.574
By Speece,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,21,20,1,3,0,1,0,.150,.450
Bennie Tate,3,0,0,0,0,0,0,1,3,0,,1.000,,,0,0,,21,43,2,13,0,7,0,.302,.667
Tommy Taylor,3,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,1,26,73,11,19,0,10,2,.260,.618
Tom Zachary,2,5,0,0,0,0,0,0,1,3,.000,.167,.000,.167,0,0,0,33,72,7,22,0,8,0,.306,.670
Totals,84,248,26,61,9,0,5,25,29,34,.246,.325,.343,.668,5,4,,156,5304,755,1558,22,,116,.294,.749
