
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Babe Adams,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,31,3,7,0,1,0,.226,.552
Vic Aldridge,3,7,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,30,86,3,20,1,10,0,.233,.500
Clyde Barnhart,7,28,1,7,1,0,0,5,3,5,.250,.323,.286,.608,1,0,0,142,539,85,175,4,114,9,.325,.838
Carson Bigbee,4,3,1,1,1,0,0,1,0,0,.333,.333,.667,1.000,1,0,0,66,126,31,30,0,8,2,.238,.572
Max Carey,7,24,6,11,4,0,0,2,2,3,.458,.552,.625,1.177,3,1,1,133,542,109,186,5,44,46,.343,.909
Kiki Cuyler,7,26,3,7,3,0,1,6,1,4,.269,.321,.500,.821,0,0,1,153,617,144,220,18,102,41,.357,1.021
Johnny Gooch,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,79,215,24,64,0,30,1,.298,.730
George Grantham,5,15,0,2,0,0,0,0,0,3,.133,.133,.133,.267,1,0,0,114,359,74,117,8,52,14,.326,.906
Ray Kremer,3,7,0,1,0,0,0,1,0,5,.143,.143,.143,.286,0,0,1,40,71,9,14,0,7,0,.197,.546
Stuffy McInnis,4,14,0,4,0,0,0,1,0,2,.286,.286,.286,.571,0,0,0,59,155,19,57,0,24,1,.368,.921
Lee Meadows,1,1,0,0,0,0,0,0,1,1,.000,.500,.000,.500,0,0,0,35,97,10,17,1,7,0,.175,.475
Eddie Moore,7,26,7,6,1,0,1,2,5,2,.231,.355,.385,.739,0,0,1,142,547,106,163,6,77,19,.298,.796
Johnny Morrison,3,2,1,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,44,73,4,13,0,8,0,.178,.422
Red Oldham,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,11,18,2,6,0,1,0,.333,.844
Earl Smith,6,20,0,7,1,0,0,0,1,2,.350,.381,.400,.781,0,0,1,109,329,34,103,8,64,4,.313,.845
Pie Traynor,7,26,2,9,0,2,1,4,3,1,.346,.414,.615,1.029,1,0,0,150,591,114,189,6,106,15,.320,.840
Glenn Wright,7,27,3,5,1,0,1,3,1,4,.185,.214,.333,.548,0,0,2,153,614,97,189,18,121,3,.308,.822
Emil Yde,2,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,47,89,11,17,0,11,1,.191,.467
Totals,78,230,25,61,12,2,4,25,17,32,.265,.327,.387,.714,7,1,,153,5372,912,1651,78,,159,.307,.818
