
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Spencer Adams,2,0,0,0,0,0,0,0,0,0,,,,,0,0,,28,25,7,3,0,1,1,.120,.374
Pat Collins,3,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,102,290,41,83,7,35,3,.286,.850
Earle Combs,7,28,3,10,2,0,0,2,5,2,.357,.455,.429,.883,0,0,0,145,606,113,181,8,55,8,.299,.781
Joe Dugan,7,24,2,8,1,0,0,2,1,1,.333,.360,.375,.735,0,1,1,123,434,39,125,1,61,2,.288,.690
Mike Gazella,1,0,0,0,0,0,0,0,0,0,,1.000,,,0,0,0,66,168,21,39,0,20,2,.232,.603
Lou Gehrig,7,23,1,8,2,0,0,4,5,4,.348,.464,.435,.899,0,0,0,155,572,135,179,16,109,6,.313,.969
Waite Hoyt,2,6,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,40,76,4,16,0,3,0,.211,.461
Sad Sam Jones,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,44,49,3,10,0,4,1,.204,.489
Mark Koenig,7,32,2,4,1,0,0,2,0,6,.125,.125,.156,.281,0,0,4,147,617,93,167,5,65,4,.271,.682
Tony Lazzeri,7,26,2,5,1,0,0,3,1,6,.192,.222,.231,.453,0,1,1,155,589,79,162,18,117,16,.275,.800
Bob Meusel,7,21,3,5,1,1,0,0,6,1,.238,.407,.381,.788,0,0,1,108,413,73,130,12,78,16,.315,.842
Ben Paschal,5,4,0,1,0,0,0,1,1,2,.250,.400,.250,.650,0,0,,96,258,46,74,7,31,7,.287,.792
Herb Pennock,3,7,1,1,1,0,0,0,0,0,.143,.143,.286,.429,0,0,0,40,85,8,18,0,6,0,.212,.537
Dutch Ruether,3,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*60,113,8,25,1,11,0,.221,.532
Babe Ruth,7,20,6,6,0,0,4,5,11,2,.300,.548,.900,1.448,1,1,0,152,495,139,184,47,153,11,.372,1.253
Hank Severeid,7,22,1,6,1,0,0,1,1,2,.273,.304,.318,.623,0,0,0,*63,161,15,41,0,16,1,.255,.645
Bob Shawkey,3,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,29,35,4,9,0,3,0,.257,.602
Urban Shocker,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,41,76,6,13,0,4,0,.171,.468
Myles Thomas,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,43,1,5,0,1,0,.116,.253
Totals,83,223,21,54,10,1,4,20,31,31,.242,.337,.350,.687,1,3,,155,5221,847,1508,121,,79,.289,.806
