
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Max Bishop,7,27,4,4,0,0,0,0,3,5,.148,.233,.148,.381,0,0,0,130,497,115,146,5,37,3,.294,.826
Joe Boley,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,67,224,26,51,0,20,1,.228,.577
Mickey Cochrane,7,25,2,4,0,0,0,1,5,2,.160,.300,.160,.460,0,0,1,122,459,87,160,17,89,2,.349,.976
Doc Cramer,2,2,0,1,0,0,0,2,0,0,.500,.500,.500,1.000,0,0,,65,223,37,58,2,20,2,.260,.642
Jimmy Dykes,7,22,2,5,0,0,0,2,5,1,.227,.370,.227,.598,0,0,0,101,355,48,97,3,46,1,.273,.759
George Earnshaw,3,8,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,43,114,12,30,2,13,0,.263,.689
Jimmie Foxx,7,23,3,8,0,0,1,3,6,5,.348,.483,.478,.961,0,0,1,139,515,93,150,30,120,4,.291,.947
Lefty Grove,3,10,0,0,0,0,0,0,0,7,.000,.000,.000,.000,0,0,0,41,115,8,23,0,12,0,.200,.446
Mule Haas,7,23,1,3,1,0,0,2,3,5,.130,.231,.174,.405,0,0,0,102,440,82,142,8,56,0,.323,.841
Johnnie Heving,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,42,113,8,27,1,12,0,.239,.605
Waite Hoyt,1,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*32,73,6,17,0,9,0,.233,.527
Roy Mahaffey,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,30,63,7,12,2,8,0,.190,.556
Eric McNair,2,2,1,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,79,280,41,76,5,33,1,.271,.674
Bing Miller,7,26,3,7,1,0,0,1,0,4,.269,.296,.308,.604,0,0,0,137,534,75,150,8,77,5,.281,.763
Jimmy Moore,2,3,0,1,0,0,0,0,0,1,.333,.333,.333,.667,0,0,0,49,143,18,32,2,21,0,.224,.599
Eddie Rommel,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,54,6,14,0,4,0,.259,.648
Al Simmons,7,27,4,9,2,0,2,8,3,3,.333,.400,.630,1.030,0,0,0,128,513,105,200,22,128,3,.390,1.085
Phil Todt,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,,62,197,23,48,5,44,1,.244,.684
Rube Walberg,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,45,105,6,13,0,6,0,.124,.316
Dib Williams,7,25,2,8,1,0,0,1,2,9,.320,.370,.360,.730,0,0,0,86,294,41,79,6,40,2,.269,.697
Totals,76,227,22,50,5,0,3,20,28,46,.220,.309,.282,.591,0,0,,153,5377,858,1544,118,,25,.287,.789
