
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Johnny Allen,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,73,5,9,1,5,0,.123,.388
Samuel Byrd,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,105,209,49,62,8,30,1,.297,.863
Ben Chapman,4,17,1,5,2,0,0,6,2,4,.294,.368,.412,.780,0,1,0,151,581,101,174,10,107,38,.299,.854
Earle Combs,4,16,8,6,1,0,1,4,4,3,.375,.500,.625,1.125,0,0,0,144,591,143,190,9,65,3,.321,.860
Frankie Crosetti,4,15,2,2,1,0,0,0,2,3,.133,.235,.200,.435,0,0,4,116,398,47,96,5,57,3,.241,.709
Bill Dickey,4,16,2,7,0,0,0,4,2,1,.438,.526,.438,.964,0,1,0,108,423,66,131,15,84,2,.310,.843
Lou Gehrig,4,17,9,9,1,0,3,8,2,1,.529,.600,1.118,1.718,0,0,1,156,596,138,208,34,151,4,.349,1.072
Lefty Gomez,1,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,37,104,9,18,0,15,0,.173,.410
Myril Hoag,1,0,1,0,0,0,0,0,0,0,,,,,0,0,,46,54,18,20,1,7,1,.370,.961
Tony Lazzeri,4,17,4,5,0,0,2,5,2,1,.294,.368,.647,1.015,0,0,1,142,510,79,153,15,113,11,.300,.905
Wilcy Moore,1,3,0,1,0,0,0,0,0,2,.333,.333,.333,.667,0,0,0,*47,30,1,1,0,0,0,.033,.098
Herb Pennock,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,22,53,4,8,0,6,0,.151,.439
George Pipgras,1,5,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,32,82,4,18,0,10,0,.220,.494
Red Ruffing,2,4,0,0,0,0,0,0,1,1,.000,.200,.000,.200,0,0,0,55,124,20,38,3,19,0,.306,.782
Babe Ruth,4,15,6,5,0,0,2,6,4,3,.333,.500,.733,1.233,0,0,1,133,457,120,156,41,137,2,.341,1.150
Joe Sewell,4,15,4,5,1,0,0,3,4,0,.333,.500,.400,.900,0,0,1,125,503,95,137,11,68,0,.272,.740
Totals,42,144,37,45,6,0,8,36,23,26,.313,.421,.521,.942,0,2,,156,5477,1002,1564,160,,77,.286,.830
