
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Ossie Bluege,5,16,1,2,1,0,0,0,1,6,.125,.176,.188,.364,0,0,0,140,501,63,131,6,71,6,.261,.663
Cliff Bolton,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,33,39,4,16,0,6,0,.410,.987
Joe Cronin,5,22,1,7,0,0,0,2,0,2,.318,.318,.318,.636,0,0,1,152,602,89,186,5,118,5,.309,.843
General Crowder,2,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500,0,0,0,52,102,7,19,0,7,0,.186,.468
Goose Goslin,5,20,2,5,1,0,1,1,1,3,.250,.286,.450,.736,0,0,0,132,549,97,163,10,64,5,.297,.800
Dave Harris,3,2,0,0,0,0,0,0,2,0,.000,.500,.000,.500,0,0,0,82,177,33,46,5,38,3,.260,.776
John Kerr,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,28,40,5,8,0,0,0,.200,.456
Joe Kuhel,5,20,1,3,0,0,0,1,1,4,.150,.190,.150,.340,0,1,0,153,602,89,194,11,107,17,.322,.851
Heinie Manush,5,18,2,2,0,0,0,0,2,1,.111,.200,.111,.311,0,0,0,153,658,115,221,5,95,6,.336,.831
Alex McColl,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,4,6,2,2,0,2,0,.333,.833
Buddy Myer,5,20,2,6,1,0,0,2,2,3,.300,.364,.350,.714,0,0,3,131,530,95,160,4,61,6,.302,.810
Sam Rice,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,,73,85,19,25,1,12,0,.294,.773
Jack Russell,3,2,0,0,0,0,0,0,1,2,.000,.333,.000,.333,0,0,0,50,34,5,5,0,3,0,.147,.363
Fred Schulte,5,21,1,7,1,0,1,4,1,1,.333,.364,.524,.887,0,1,0,144,550,98,162,5,87,10,.295,.768
Luke Sewell,5,17,1,3,0,0,0,1,2,0,.176,.263,.176,.440,1,0,0,141,474,65,125,2,61,7,.264,.692
Lefty Stewart,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,35,77,9,11,0,4,0,.143,.466
Tommy Thomas,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,42,5,10,0,2,0,.238,.542
Monte Weaver,1,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,23,56,6,7,0,4,0,.125,.298
Earl Whitehill,1,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,40,108,7,24,0,11,0,.222,.522
Totals,58,173,11,37,4,0,2,11,13,25,.214,.269,.272,.540,1,2,,153,5524,850,1586,60,,65,.287,.754
