
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Wally Berger,4,15,0,0,0,0,0,1,0,4,.000,.000,.000,.000,0,0,0,97,329,36,85,14,44,1,.258,.778
Nino Bongiovanni,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,66,159,17,41,0,16,0,.258,.593
Frenchy Bordagaray,2,0,0,0,0,0,0,0,0,0,,,,,0,0,,63,122,19,24,0,12,3,.197,.506
Harry Craft,4,11,0,1,0,0,0,0,0,6,.091,.091,.091,.182,0,0,0,134,502,58,129,13,67,5,.257,.701
Paul Derringer,2,5,0,1,0,0,0,0,0,0,.200,.200,.200,.400,0,0,0,38,110,10,23,0,17,0,.209,.453
Lonny Frey,4,17,0,0,0,0,0,0,1,4,.000,.056,.000,.056,0,0,0,125,484,95,141,11,55,5,.291,.840
Lee Gamble,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,72,221,24,59,0,14,5,.267,.612
Ival Goodman,4,15,3,5,1,0,0,1,1,2,.333,.375,.400,.775,1,0,1,124,470,85,152,7,84,2,.323,.916
Lee Grissom,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,47,5,4,0,1,0,.085,.285
Willard Hershberger,3,2,0,1,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,63,174,23,60,0,32,1,.345,.803
Ernie Lombardi,4,14,0,3,0,0,0,2,0,1,.214,.267,.214,.481,0,0,1,130,450,43,129,20,85,0,.287,.829
Frank McCormick,4,15,1,6,1,0,0,1,0,1,.400,.400,.467,.867,0,0,0,156,630,99,209,18,128,1,.332,.869
Whitey Moore,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,42,61,4,6,0,2,0,.098,.242
Billy Myers,4,12,2,4,0,1,0,0,2,3,.333,.429,.500,.929,0,0,2,151,509,79,143,9,56,4,.281,.762
Al Simmons,1,4,1,1,1,0,0,0,0,0,.250,.250,.500,.750,0,0,0,*102,351,39,96,7,44,0,.274,.734
Gene Thompson,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,42,48,3,11,0,1,0,.229,.479
Bucky Walters,2,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,40,120,16,39,1,16,1,.325,.790
Billy Werber,4,16,1,4,0,0,0,2,2,0,.250,.333,.250,.583,0,1,0,147,599,115,173,5,57,15,.289,.777
Totals,47,133,8,27,3,1,0,8,6,22,.203,.243,.241,.483,1,1,,156,5378,767,1493,98,,46,.278,.748
