
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Earl Averill,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,64,118,10,33,2,20,0,.280,.690
Dick Bartell,7,26,2,7,2,0,0,3,3,3,.269,.345,.346,.691,0,1,1,139,528,76,123,7,53,12,.233,.665
Tommy Bridges,1,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,29,68,5,12,0,4,0,.176,.417
Bruce Campbell,7,25,4,9,1,0,1,5,4,4,.360,.448,.520,.968,0,2,0,103,297,56,84,8,44,2,.283,.829
Frank Croucher,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,37,57,3,6,0,2,0,.105,.269
Pete Fox,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,93,350,49,101,5,48,7,.289,.732
Charlie Gehringer,7,28,3,6,0,0,0,1,2,0,.214,.267,.214,.481,0,0,0,139,515,108,161,10,81,10,.313,.875
Johnny Gorsica,2,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,29,62,6,12,1,7,0,.194,.537
Hank Greenberg,7,28,5,10,2,1,1,6,2,5,.357,.400,.607,1.007,0,0,0,148,573,129,195,41,150,6,.340,1.103
Pinky Higgins,7,24,2,8,3,1,1,6,3,3,.333,.407,.667,1.074,0,0,2,131,480,70,130,13,76,4,.271,.771
Fred Hutchinson,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,17,30,1,8,0,2,0,.267,.567
Barney McCosky,7,23,5,7,1,0,0,1,7,0,.304,.467,.348,.814,0,0,0,143,589,123,200,4,57,13,.340,.899
Archie McKain,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,27,7,3,1,0,0,0,.143,.476
Bobo Newsom,3,10,1,1,0,0,0,0,0,1,.100,.100,.100,.200,0,0,0,36,107,9,23,0,16,0,.215,.484
Schoolboy Rowe,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,27,67,7,18,1,18,1,.269,.752
Clay Smith,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,14,7,0,0,0,0,0,.000,.000
Billy Sullivan,5,13,3,2,0,0,0,0,5,2,.154,.389,.154,.543,0,0,0,78,220,36,68,3,41,2,.309,.849
Birdie Tebbetts,4,11,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,111,379,46,112,4,46,4,.296,.768
Dizzy Trout,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,33,31,4,4,0,4,0,.129,.311
Rudy York,7,26,3,6,0,1,1,2,4,7,.231,.333,.423,.756,0,0,0,155,588,105,186,33,134,3,.316,.993
Totals,75,228,28,56,9,3,4,24,30,30,.246,.333,.364,.697,0,3,,155,5418,888,1549,134,,66,.286,.808
