
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Floyd Baker,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,44,97,10,17,0,5,2,.175,.465
Milt Byrnes,3,2,0,0,0,0,0,0,1,2,.000,.333,.000,.333,0,0,,128,407,63,120,4,45,1,.295,.789
Mike Chartak,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,,35,72,8,17,1,7,0,.236,.637
Mark Christman,6,22,0,2,0,0,0,1,0,6,.091,.091,.091,.182,0,0,1,148,547,56,148,6,83,5,.271,.684
Ellis Clary,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,25,49,6,13,0,4,1,.265,.736
Denny Galehouse,2,5,0,1,0,0,0,0,1,1,.200,.333,.200,.533,0,0,0,24,48,1,3,0,1,0,.063,.180
Don Gutteridge,6,21,1,3,1,0,0,0,3,5,.143,.250,.190,.440,0,0,3,148,603,89,148,3,36,20,.245,.646
Red Hayworth,6,17,1,2,1,0,0,1,3,1,.118,.250,.176,.426,0,0,1,90,270,20,60,1,25,0,.222,.534
Al Hollingsworth,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,26,28,1,2,0,0,0,.071,.259
Sig Jakucki,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,73,9,11,1,8,0,.151,.395
Jack Kramer,2,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,33,85,6,14,2,6,0,.165,.504
Mike Kreevich,6,26,0,6,3,0,0,0,0,5,.231,.231,.346,.577,0,0,0,105,402,55,121,5,44,3,.301,.754
Chet Laabs,5,15,1,3,1,1,0,0,2,6,.200,.294,.400,.694,0,0,0,66,201,28,47,5,23,3,.234,.709
Frank Mancuso,2,3,0,2,0,0,0,1,0,0,.667,.667,.667,1.333,0,0,0,88,244,19,50,1,24,1,.205,.533
George McQuinn,6,16,2,7,2,0,1,5,7,2,.438,.609,.750,1.359,0,0,0,146,516,83,129,11,72,4,.250,.733
Gene Moore,6,22,4,4,0,0,0,0,3,6,.182,.280,.182,.462,0,0,0,110,390,56,93,6,58,0,.238,.633
Bob Muncrief,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,33,78,4,18,0,10,1,.231,.516
Nels Potter,2,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,2,32,82,4,13,0,5,0,.159,.378
Tex Shirley,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,30,28,7,4,0,1,0,.143,.286
Vern Stephens,6,22,2,5,1,0,0,0,3,3,.227,.320,.273,.593,0,0,3,145,559,91,164,20,109,2,.293,.826
Tom Turner,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,*51,138,11,34,2,17,0,.246,.623
Al Zarilla,4,10,1,1,0,0,0,1,0,4,.100,.100,.100,.200,0,0,0,100,288,43,86,6,45,1,.299,.823
Totals,74,197,12,36,9,1,1,9,23,49,.183,.268,.254,.522,0,0,,154,5269,684,1328,72,,44,.252,.675
