
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Red Barrett,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,39,0,7,0,3,0,.179,.359
Vern Bickford,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,49,3,10,0,7,0,.204,.480
Clint Conatser,2,4,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,90,224,30,62,3,23,0,.277,.754
Al Dark,6,24,2,4,1,0,0,0,0,2,.167,.167,.208,.375,0,0,3,137,543,85,175,3,48,4,.322,.786
Bob Elliott,6,21,4,7,0,0,2,5,2,2,.333,.391,.619,1.010,0,0,3,151,540,99,153,23,100,6,.283,.897
Tommy Holmes,6,26,3,5,0,0,0,1,0,0,.192,.192,.192,.385,0,0,0,139,585,85,190,6,61,1,.325,.814
Phil Masi,5,8,1,1,1,0,0,1,0,0,.125,.125,.250,.375,0,0,0,113,376,43,95,5,44,2,.253,.661
Frank McCormick,3,5,0,1,0,0,0,0,0,2,.200,.200,.200,.400,0,0,0,75,180,14,45,4,34,0,.250,.678
Mike McCormick,6,23,1,6,0,0,0,2,0,4,.261,.261,.261,.522,0,0,0,115,343,45,104,1,39,1,.303,.780
Nels Potter,2,2,0,1,0,0,0,0,0,1,.500,.500,.500,1.000,0,0,0,*28,37,1,14,0,4,0,.378,.800
Marv Rickert,5,19,2,4,0,0,1,2,0,4,.211,.211,.368,.579,0,0,0,*11,19,1,4,0,2,0,.211,.566
Connie Ryan,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,51,122,14,26,0,10,0,.213,.571
Johnny Sain,2,5,0,1,0,0,0,0,0,0,.200,.200,.200,.400,0,0,0,43,115,11,25,0,16,0,.217,.485
Bill Salkeld,5,9,2,2,0,0,1,1,5,1,.222,.500,.556,1.056,0,0,0,78,198,26,48,8,28,1,.242,.792
Ray Sanders,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,5,4,0,1,0,2,0,.250,.650
Sibby Sisti,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,83,221,30,54,0,21,0,.244,.630
Warren Spahn,3,4,0,0,0,0,0,1,0,1,.000,.000,.000,.000,0,0,0,37,90,10,15,1,7,0,.167,.452
Eddie Stanky,6,14,0,4,1,0,0,1,7,0,.286,.524,.357,.881,0,0,0,67,247,49,79,2,29,3,.320,.872
Earl Torgeson,5,18,2,7,3,0,0,1,2,1,.389,.450,.556,1.006,1,0,0,134,438,70,111,10,67,19,.253,.770
Bill Voiselle,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,37,72,2,7,0,4,0,.097,.242
Totals,72,187,17,43,6,0,4,16,16,19,.230,.291,.326,.617,1,0,,154,5297,739,1458,95,,43,.275,.757
