
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Gene Bearden,2,4,1,2,1,0,0,0,0,1,.500,.500,.750,1.250,0,0,0,37,90,14,23,2,14,0,.256,.650
Ray Boone,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,6,5,0,2,0,1,0,.400,1.000
Lou Boudreau,6,22,1,6,4,0,0,3,1,1,.273,.333,.455,.788,0,0,0,152,560,116,199,18,106,3,.355,.987
Russ Christopher,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,45,6,1,0,0,0,0,.000,.250
Allie Clark,1,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,81,271,43,84,9,38,0,.310,.807
Larry Doby,6,22,1,7,1,0,1,2,2,4,.318,.375,.500,.875,0,0,1,121,439,83,132,14,66,9,.301,.873
Bob Feller,2,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,44,95,1,9,0,3,0,.095,.229
Joe Gordon,6,22,3,4,0,0,1,2,1,2,.182,.217,.318,.536,1,0,1,144,550,96,154,32,124,5,.280,.879
Steve Gromek,1,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,38,41,3,6,0,1,0,.146,.375
Jim Hegan,6,19,2,4,0,0,1,5,1,4,.211,.250,.368,.618,1,0,0,144,472,60,117,14,61,6,.248,.724
Wally Judnich,4,13,1,1,0,0,0,1,1,4,.077,.143,.077,.220,0,0,0,79,218,36,56,2,29,2,.257,.782
Ken Keltner,6,21,3,2,0,0,0,0,2,3,.095,.174,.095,.269,0,0,1,153,558,91,166,31,119,2,.297,.917
Bob Kennedy,3,2,0,1,0,0,0,1,0,1,.500,.500,.500,1.000,0,0,0,*96,186,14,50,0,19,0,.269,.659
Ed Klieman,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,44,14,0,2,0,0,0,.143,.393
Bob Lemon,2,7,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,52,119,20,34,5,21,0,.286,.818
Dale Mitchell,6,23,4,4,1,0,1,1,2,0,.174,.240,.348,.588,0,0,0,141,608,82,204,4,56,13,.336,.814
Bob Muncrief,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,21,18,0,2,0,0,0,.111,.311
Satchel Paige,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,21,23,0,2,0,0,0,.087,.174
Hal Peck,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,45,63,12,18,0,8,1,.286,.662
Eddie Robinson,6,20,0,6,0,0,0,1,1,0,.300,.333,.300,.633,0,0,0,134,493,53,125,16,83,1,.254,.715
Al Rosen,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,5,5,0,1,0,0,0,.200,.400
Joe Tipton,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,47,90,11,26,1,13,0,.289,.689
Thurman Tucker,1,3,1,1,0,0,0,0,1,0,.333,.500,.333,.833,0,0,0,83,242,52,63,1,19,11,.260,.690
Totals,66,191,17,38,7,0,4,16,12,26,.199,.250,.298,.548,2,0,,156,5446,840,1534,155,,54,.282,.792
