
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jack Banta,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,48,46,2,5,0,1,0,.109,.294
Rex Barney,1,0,0,0,0,0,0,0,0,0,,,,,0,0,1,38,47,3,10,0,2,0,.213,.463
Ralph Branca,1,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,34,62,5,5,0,2,0,.081,.294
Tommy Brown,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,41,89,14,27,3,18,0,.303,.774
Roy Campanella,5,15,2,4,1,0,1,2,3,1,.267,.389,.533,.922,0,0,0,130,436,65,125,22,82,3,.287,.883
Billy Cox,2,3,0,1,0,0,0,0,0,1,.333,.333,.333,.667,0,0,0,100,390,48,91,8,40,5,.233,.641
Bruce Edwards,2,2,0,1,0,0,0,0,0,1,.500,.500,.500,1.000,0,0,,64,148,24,31,8,25,0,.209,.716
Carl Erskine,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,22,26,1,3,0,1,0,.115,.231
Carl Furillo,3,8,0,1,0,0,0,0,1,0,.125,.222,.125,.347,0,0,0,142,549,95,177,18,106,4,.322,.875
Joe Hatten,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,39,67,4,12,0,4,0,.179,.397
Gene Hermanski,4,13,1,4,0,1,0,2,3,3,.308,.438,.462,.899,0,0,0,87,224,48,67,8,42,12,.299,.918
Gil Hodges,5,17,2,4,0,0,1,4,1,4,.235,.278,.412,.690,0,0,0,156,596,94,170,23,115,10,.285,.813
Spider Jorgensen,4,11,1,2,2,0,0,0,2,2,.182,.308,.364,.671,0,0,0,53,134,15,36,1,14,0,.269,.719
Mike McCormick,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,55,139,17,29,2,14,1,.209,.583
Eddie Miksis,3,7,0,2,1,0,0,0,0,1,.286,.286,.429,.714,0,0,1,50,113,17,25,1,6,3,.221,.559
Paul Minner,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,27,14,3,3,0,2,0,.214,.429
Don Newcombe,2,4,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,39,96,8,22,0,10,0,.229,.538
Luis Olmo,4,11,2,3,0,0,1,2,0,2,.273,.273,.545,.818,0,0,0,38,105,15,32,1,14,2,.305,.727
Erv Palica,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,49,19,2,3,0,2,0,.158,.449
Marv Rackley,2,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,*74,185,30,56,1,17,2,.303,.726
Pee Wee Reese,5,19,2,6,1,0,1,2,1,0,.316,.381,.526,.907,1,0,1,155,617,132,172,16,73,26,.279,.806
Jackie Robinson,5,16,2,3,1,0,0,2,4,2,.188,.350,.250,.600,0,0,1,156,593,122,203,16,124,37,.342,.960
Preacher Roe,1,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,1,30,70,5,8,0,7,0,.114,.309
Duke Snider,5,21,2,3,1,0,0,0,0,8,.143,.143,.190,.333,0,0,0,146,552,100,161,23,92,12,.292,.854
Dick Whitman,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,23,49,8,9,0,2,0,.184,.470
Totals,67,162,14,34,7,1,4,14,15,38,.210,.281,.340,.620,1,0,,156,5400,879,1477,152,,117,.274,.773
