
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Richie Ashburn,4,17,0,3,1,0,0,1,0,4,.176,.176,.235,.412,0,0,0,151,594,84,180,2,41,14,.303,.774
Jimmy Bloodworth,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*58,110,7,25,0,14,0,.227,.534
Putsy Caballero,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,46,24,12,4,0,0,1,.167,.397
Del Ennis,4,14,1,2,1,0,0,0,0,1,.143,.200,.214,.414,0,0,0,153,595,92,185,31,126,2,.311,.923
Mike Goliat,4,14,1,3,0,0,0,1,1,2,.214,.267,.214,.481,0,0,1,145,483,49,113,13,64,3,.234,.680
Granny Hamner,4,14,1,6,2,1,0,0,1,2,.429,.467,.714,1.181,1,0,1,157,637,78,172,11,82,2,.270,.694
Ken Heintzelman,1,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,23,38,0,2,0,3,0,.053,.130
Ken Johnson,1,0,1,0,0,0,0,0,0,0,,,,,0,0,,*23,19,4,3,0,0,0,.158,.358
Willie Jones,4,14,1,4,1,0,0,0,0,3,.286,.286,.357,.643,0,0,1,157,610,100,163,25,88,5,.267,.793
Jim Konstanty,3,4,0,1,0,0,0,0,0,1,.250,.250,.250,.500,0,0,0,74,37,0,4,0,3,0,.108,.216
Stan Lopata,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,58,129,10,27,1,11,1,.209,.604
Jackie Mayo,3,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,18,36,1,8,0,3,0,.222,.569
Russ Meyer,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,50,2,7,0,0,0,.140,.349
Bob Miller,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,61,4,11,0,6,0,.180,.390
Robin Roberts,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,40,102,1,12,0,7,0,.118,.299
Andy Seminick,4,11,0,2,0,0,0,0,1,3,.182,.250,.182,.432,0,0,1,130,393,55,113,24,68,0,.288,.925
Ken Silvestri,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,11,20,2,5,0,4,0,.250,.750
Dick Sisler,4,17,0,1,0,0,0,1,0,5,.059,.059,.059,.118,0,0,0,141,523,79,155,13,83,1,.296,.815
Eddie Waitkus,4,15,0,4,1,0,0,0,2,0,.267,.353,.333,.686,0,0,0,154,641,102,182,2,44,3,.284,.700
Dick Whitman,3,2,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,,75,132,21,33,0,12,1,.250,.620
Totals,55,128,5,26,6,1,0,3,7,24,.203,.250,.266,.516,1,0,,157,5426,722,1440,125,,33,.265,.730
