
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Al Corwin,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,15,20,1,1,0,0,0,.050,.150
Al Dark,6,24,5,10,3,0,1,4,2,3,.417,.462,.667,1.128,0,0,0,156,646,114,196,14,69,12,.303,.805
Clint Hartung,2,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,21,44,4,9,0,2,0,.205,.449
Jim Hearn,2,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,34,74,7,12,1,6,0,.162,.408
Monte Irvin,6,24,3,11,0,1,0,2,2,1,.458,.500,.542,1.042,2,1,1,151,558,94,174,24,121,12,.312,.929
Larry Jansen,3,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,39,96,5,9,0,5,0,.094,.249
Sheldon Jones,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,41,31,1,3,0,1,0,.097,.319
Monty Kennedy,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,15,0,3,0,1,0,.200,.467
Alex Konikowski,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,3,0,0,0,0,0,0,,
Dave Koslo,2,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,39,50,1,5,0,1,1,.100,.316
Whitey Lockman,6,25,1,6,2,0,1,4,1,2,.240,.269,.440,.709,0,0,2,153,614,85,173,12,73,4,.282,.746
Jack Lohrke,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,23,40,3,8,1,3,0,.200,.635
Sal Maglie,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,42,112,9,17,1,5,0,.152,.347
Willie Mays,6,22,1,4,0,0,0,1,2,2,.182,.250,.182,.432,0,0,0,121,464,59,127,20,68,7,.274,.828
Ray Noble,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,55,141,16,33,5,26,0,.234,.648
Bill Rigney,4,4,0,1,0,0,0,1,0,1,.250,.250,.250,.500,0,0,,44,69,9,16,4,9,0,.232,.755
Hank Schenz,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,*33,61,6,13,0,3,0,.213,.455
George Spencer,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,57,32,2,4,0,3,0,.125,.325
Eddie Stanky,6,22,3,3,0,0,0,1,3,2,.136,.269,.136,.406,0,1,1,145,515,88,127,14,43,8,.247,.770
Hank Thompson,5,14,3,2,0,0,0,0,5,2,.143,.368,.143,.511,0,0,2,87,264,37,62,8,33,1,.235,.728
Bobby Thomson,6,21,1,5,1,0,0,2,5,0,.238,.385,.286,.670,0,0,2,148,518,89,152,32,101,5,.293,.947
Wes Westrum,6,17,1,4,1,0,0,0,5,3,.235,.409,.294,.703,0,0,1,124,361,59,79,20,70,1,.219,.818
Davey Williams,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,30,64,17,17,2,8,1,.266,.694
Sal Yvars,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,25,41,9,13,2,3,0,.317,.929
Totals,77,194,18,46,7,1,2,15,25,22,.237,.327,.314,.642,2,2,,157,5360,781,1396,179,,55,.260,.765
