
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Sandy Amoros,5,12,3,4,0,0,1,3,4,4,.333,.529,.583,1.113,0,0,0,119,388,59,96,10,51,10,.247,.749
Don Bessent,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,24,20,1,2,0,2,0,.100,.200
Roy Campanella,7,27,4,7,3,0,2,4,3,3,.259,.333,.593,.926,0,0,1,123,446,81,142,32,107,2,.318,.978
Roger Craig,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,21,26,2,2,0,0,0,.077,.188
Carl Erskine,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,42,74,12,15,1,11,0,.203,.481
Carl Furillo,7,27,4,8,1,0,1,3,3,5,.296,.387,.444,.832,0,0,0,140,523,83,164,26,95,4,.314,.891
Jim Gilliam,7,24,2,7,1,0,0,3,8,1,.292,.469,.333,.802,1,1,0,147,538,110,134,7,40,15,.249,.696
Don Hoak,3,3,0,1,0,0,0,0,2,0,.333,.600,.333,.933,0,0,0,94,279,50,67,5,19,9,.240,.712
Gil Hodges,7,24,2,7,0,0,1,5,3,2,.292,.357,.417,.774,0,1,0,150,546,75,158,27,102,2,.289,.877
Frank Kellert,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,0,0,,39,80,12,26,4,19,0,.325,.960
Clem Labine,4,4,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,60,31,4,3,3,5,0,.097,.564
Billy Loes,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,22,44,2,4,0,0,1,.091,.240
Russ Meyer,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,18,27,1,1,0,2,0,.037,.146
Don Newcombe,1,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,57,117,18,42,7,23,1,.359,1.028
Johnny Podres,2,7,1,1,0,0,0,0,0,1,.143,.143,.143,.286,0,0,0,32,60,9,11,0,5,0,.183,.451
Pee Wee Reese,7,27,5,8,1,0,0,2,3,5,.296,.367,.333,.700,0,0,1,145,553,99,156,10,61,8,.282,.774
Jackie Robinson,6,22,5,4,1,1,0,1,2,1,.182,.250,.318,.568,1,0,2,105,317,51,81,8,36,12,.256,.740
Ed Roebuck,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,47,18,0,2,0,2,0,.111,.222
George Shuba,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,44,51,8,14,1,8,0,.275,.794
Duke Snider,7,25,5,8,1,0,4,7,2,6,.320,.370,.840,1.210,0,0,0,148,538,126,166,42,136,9,.309,1.046
Karl Spooner,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,28,3,8,0,4,0,.286,.798
Don Zimmer,4,9,0,2,0,0,0,2,2,5,.222,.333,.222,.556,0,0,2,88,280,38,67,15,50,5,.239,.731
Totals,81,223,31,58,8,1,9,30,33,38,.260,.358,.426,.784,2,2,,154,5193,857,1406,201,,79,.271,.804
