
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Hank Aaron,7,28,5,11,0,1,3,7,1,6,.393,.414,.786,1.200,0,0,0,151,615,118,198,44,132,1,.322,.978
Joe Adcock,5,15,1,3,0,0,0,2,0,2,.200,.200,.200,.400,0,0,1,65,209,31,60,12,38,0,.287,.891
Bob Buhl,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,1,34,73,4,6,0,4,0,.082,.234
Lew Burdette,3,8,0,0,0,0,0,0,1,2,.000,.111,.000,.111,0,0,0,41,88,11,13,2,9,0,.148,.421
Gene Conley,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,46,1,9,0,2,0,.196,.452
Wes Covington,7,24,1,5,1,0,0,1,2,6,.208,.269,.250,.519,1,0,0,96,328,51,93,21,65,4,.284,.875
Del Crandall,6,19,1,4,0,0,1,1,1,1,.211,.250,.368,.618,0,1,0,118,383,45,97,15,46,1,.253,.718
John DeMerit,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,33,34,8,5,0,1,1,.147,.294
Bob Hazle,4,13,2,2,0,0,0,0,1,2,.154,.214,.154,.368,0,0,0,41,134,26,54,7,27,1,.403,1.126
Ernie Johnson,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,30,17,1,6,1,7,0,.353,.941
Nippy Jones,3,2,0,0,0,0,0,0,0,0,.000,.333,.000,.333,0,0,,30,79,5,21,2,8,0,.266,.685
Johnny Logan,7,27,5,5,1,0,1,2,3,6,.185,.290,.333,.624,0,0,0,129,494,59,135,10,49,5,.273,.720
Felix Mantilla,4,10,1,0,0,0,0,0,1,0,.000,.091,.000,.091,0,0,0,71,182,28,43,4,21,2,.236,.659
Eddie Mathews,7,22,4,5,3,0,1,4,8,5,.227,.433,.500,.933,0,0,1,148,572,109,167,32,94,3,.292,.927
Don McMahon,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,8,1,2,0,3,0,.250,.775
Andy Pafko,6,14,1,3,0,0,0,0,0,1,.214,.267,.214,.481,0,0,0,83,220,31,61,8,27,1,.277,.730
Juan Pizarro,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,25,36,5,9,1,2,0,.250,.624
Del Rice,2,6,0,1,0,0,0,0,1,2,.167,.286,.167,.452,0,0,0,54,144,15,33,9,20,0,.229,.746
Carl Sawatski,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,,58,105,13,25,6,17,0,.238,.764
Red Schoendienst,5,18,0,5,1,0,0,2,0,1,.278,.278,.333,.611,0,0,0,*150,648,91,200,15,65,4,.309,.795
Warren Spahn,2,4,0,0,0,0,0,0,1,2,.000,.200,.000,.200,0,0,0,39,94,3,13,2,8,0,.138,.415
Frank Torre,7,10,2,3,0,0,2,3,2,0,.300,.417,.900,1.317,0,0,0,129,364,46,99,5,40,0,.272,.732
Bob Trowbridge,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,39,1,4,0,0,0,.103,.249
Totals,89,225,23,47,6,1,8,22,22,40,.209,.288,.351,.639,1,1,,155,5458,772,1469,199,,35,.269,.769
