
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Hank Aaron,7,27,3,9,2,0,0,2,4,6,.333,.419,.407,.827,0,0,0,153,601,109,196,30,95,4,.326,.931
Joe Adcock,4,13,1,4,0,0,0,0,1,3,.308,.357,.308,.665,0,0,0,105,320,40,88,19,54,0,.275,.823
Bill Bruton,7,17,2,7,0,0,1,2,5,5,.412,.545,.588,1.134,0,0,1,100,325,47,91,3,28,4,.280,.696
Lew Burdette,3,9,1,1,0,0,1,3,0,3,.111,.111,.444,.556,0,0,0,47,99,11,24,3,15,0,.242,.635
Wes Covington,7,26,2,7,0,0,0,4,2,4,.269,.310,.269,.580,0,0,0,90,294,43,97,24,74,0,.330,1.003
Del Crandall,7,25,4,6,0,0,1,3,3,10,.240,.310,.360,.670,0,0,0,131,427,50,116,18,63,4,.272,.805
Harry Hanebrink,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,63,133,14,25,4,10,0,.188,.571
Johnny Logan,7,25,3,3,2,0,0,2,2,4,.120,.185,.200,.385,0,0,2,145,530,54,120,11,53,1,.226,.612
Felix Mantilla,4,0,1,0,0,0,0,0,0,0,,,,,0,0,0,85,226,37,50,7,19,2,.221,.627
Eddie Mathews,7,25,3,4,2,0,0,3,6,11,.160,.323,.240,.563,1,0,1,149,546,97,137,31,77,5,.251,.807
Don McMahon,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,38,9,0,1,0,0,0,.111,.384
Andy Pafko,4,9,0,3,1,0,0,1,0,0,.333,.300,.444,.744,0,0,0,95,164,17,39,3,23,0,.238,.654
Juan Pizarro,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,16,32,4,8,0,6,0,.250,.618
Bob Rush,1,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,28,45,2,9,0,1,0,.200,.467
Red Schoendienst,7,30,5,9,3,1,0,0,2,1,.300,.344,.467,.810,0,0,1,106,427,47,112,1,24,3,.262,.641
Warren Spahn,3,12,0,4,0,0,0,3,0,6,.333,.333,.333,.667,0,0,0,41,108,10,36,2,15,0,.333,.844
Frank Torre,7,17,0,3,0,0,0,1,2,0,.176,.263,.176,.440,0,0,2,138,372,41,115,6,55,2,.309,.829
Carl Willey,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,23,48,0,5,0,1,0,.104,.250
Casey Wise,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,31,71,8,14,0,0,1,.197,.451
Totals,84,240,25,60,10,1,3,24,27,56,.250,.322,.338,.660,1,0,,154,5225,675,1388,167,,26,.266,.741
