
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Bob Allison,5,16,3,2,1,0,1,2,2,9,.125,.222,.375,.597,1,0,0,135,438,71,102,23,78,10,.233,.787
Earl Battey,7,25,1,3,0,1,0,2,0,5,.120,.120,.200,.320,0,0,0,131,394,36,117,6,60,0,.297,.783
Dave Boswell,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,38,7,12,0,1,0,.316,.702
Mudcat Grant,3,8,3,2,1,0,1,3,0,1,.250,.250,.750,1.000,0,0,0,50,97,13,15,0,8,0,.155,.438
Jimmie Hall,2,7,0,1,0,0,0,0,1,5,.143,.250,.143,.393,0,0,0,148,522,81,149,20,86,14,.285,.810
Jim Kaat,3,6,0,1,0,0,0,2,0,5,.167,.167,.167,.333,0,0,0,56,93,6,23,1,9,2,.247,.588
Harmon Killebrew,7,21,2,6,0,0,1,2,6,4,.286,.444,.429,.873,0,0,1,113,401,78,108,25,75,0,.269,.885
Johnny Klippstein,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,56,8,0,0,0,0,0,.000,.111
Jim Merritt,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,16,22,1,3,0,3,0,.136,.376
Don Mincher,7,23,3,3,0,0,1,1,2,7,.130,.200,.261,.461,0,0,0,128,346,43,87,22,65,1,.251,.853
Joe Nossek,6,20,0,4,0,0,0,0,0,1,.200,.200,.200,.400,0,0,0,87,170,19,37,2,16,2,.218,.556
Tony Oliva,7,26,2,5,1,0,1,2,1,6,.192,.222,.346,.568,0,0,1,149,576,107,185,16,98,19,.321,.870
Camilo Pascual,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,27,60,7,12,2,8,0,.200,.542
Jim Perry,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,53,3,9,0,3,0,.170,.426
Bill Pleis,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,41,7,0,0,0,0,0,.000,.000
Frank Quilici,7,20,2,4,2,0,0,1,4,3,.200,.333,.300,.633,0,1,2,56,149,16,31,0,7,1,.208,.536
Rich Rollins,3,2,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,,140,469,59,117,5,32,4,.249,.641
Sandy Valdespino,5,11,1,3,1,0,0,0,0,1,.273,.273,.364,.636,0,0,0,108,245,38,64,1,22,7,.261,.641
Zoilo Versalles,7,28,3,8,1,1,1,4,2,7,.286,.333,.500,.833,1,1,0,160,666,126,182,19,77,27,.273,.781
Al Worthington,2,0,0,0,0,0,0,0,0,0,,,,,0,0,1,62,10,1,1,0,0,0,.100,.350
Jerry Zimmerman,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,83,154,8,33,1,11,0,.214,.529
Totals,82,215,20,42,7,2,6,19,19,54,.195,.261,.330,.591,2,2,,162,5488,774,1396,150,,92,.254,.722
