
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jim Brewer,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,20,10,0,0,0,0,0,.000,.091
Willie Crawford,2,2,0,1,0,0,0,0,0,1,.500,.500,.500,1.000,0,0,,52,27,10,4,0,0,2,.148,.355
Willie Davis,7,26,3,6,0,0,0,0,0,2,.231,.259,.231,.490,3,0,0,142,558,52,133,10,57,25,.238,.609
Don Drysdale,3,5,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,58,130,18,39,7,19,0,.300,.839
Ron Fairly,7,29,7,11,3,0,2,6,0,1,.379,.379,.690,1.069,0,0,0,158,555,73,152,9,70,2,.274,.738
Jim Gilliam,7,28,2,6,1,0,0,2,1,0,.214,.267,.250,.517,0,0,2,111,372,54,104,4,39,9,.280,.758
Lou Johnson,7,27,3,8,2,0,2,4,1,3,.296,.321,.593,.914,0,1,1,131,468,57,121,12,58,15,.259,.706
John Kennedy,4,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,104,105,12,18,1,5,1,.171,.472
Sandy Koufax,3,9,0,1,0,0,0,1,1,5,.111,.200,.111,.311,0,0,0,43,113,4,20,0,7,0,.177,.437
Jim Lefebvre,3,10,2,4,0,0,0,0,0,0,.400,.400,.400,.800,0,0,1,157,544,57,136,12,69,3,.250,.706
Don LeJohn,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,34,78,2,20,0,7,0,.256,.583
Bob Miller,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,61,16,0,0,0,0,0,.000,.059
Wally Moon,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,53,89,6,18,1,11,2,.202,.574
Claude Osteen,2,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,42,99,6,12,0,2,0,.121,.288
Wes Parker,7,23,3,7,0,1,1,2,3,3,.304,.407,.522,.929,2,0,0,154,542,80,129,8,51,13,.238,.687
Ron Perranoski,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,59,19,0,3,0,0,0,.158,.396
Howie Reed,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,38,12,0,0,0,1,0,.000,.250
John Roseboro,7,21,1,6,1,0,0,3,5,3,.286,.423,.333,.756,1,2,0,136,437,42,102,8,57,1,.233,.601
Dick Tracewski,6,17,0,2,0,0,0,0,1,5,.118,.167,.118,.284,0,1,1,78,186,17,40,1,20,2,.215,.577
Maury Wills,7,30,3,11,3,0,0,3,1,3,.367,.387,.467,.854,3,2,0,158,650,92,186,0,33,94,.286,.660
Totals,82,234,24,64,10,1,5,21,13,31,.274,.320,.389,.709,9,6,,162,5425,608,1329,78,,172,.245,.647
