
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Gates Brown,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,67,92,15,34,6,15,0,.370,1.127
Norm Cash,7,26,5,10,0,0,1,5,3,5,.385,.433,.500,.933,0,0,2,127,411,50,108,25,63,1,.263,.816
Wayne Comer,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,,48,48,8,6,1,3,0,.125,.389
Pat Dobson,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,47,28,2,4,0,1,0,.143,.343
Bill Freehan,7,24,0,2,1,0,0,2,4,8,.083,.214,.125,.339,0,0,2,155,540,73,142,25,84,0,.263,.819
John Hiller,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,39,37,1,3,0,2,0,.081,.162
Willie Horton,7,23,6,7,1,1,1,3,5,6,.304,.448,.565,1.013,0,0,1,143,512,68,146,36,85,0,.285,.895
Al Kaline,7,29,6,11,2,0,2,8,0,7,.379,.400,.655,1.055,0,0,0,102,327,49,94,10,53,6,.287,.820
Fred Lasher,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,9,0,1,0,0,0,.111,.222
Mickey Lolich,3,12,2,3,0,0,1,2,1,5,.250,.308,.500,.808,0,0,0,41,70,5,8,0,3,0,.114,.341
Tommy Matchick,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,80,227,18,46,3,14,0,.203,.534
Eddie Mathews,2,3,0,1,0,0,0,0,1,1,.333,.500,.333,.833,0,0,1,31,52,4,11,3,8,0,.212,.665
Dick McAuliffe,7,27,5,6,0,0,1,3,4,6,.222,.323,.333,.656,0,0,0,151,570,95,142,16,56,8,.249,.755
Denny McLain,3,6,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,1,44,111,7,18,0,4,0,.162,.359
Don McMahon,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*45,7,0,1,0,0,0,.143,.286
Jim Northrup,7,28,4,7,0,1,2,8,1,5,.250,.276,.536,.812,0,0,2,154,580,76,153,21,90,4,.264,.770
Ray Oyler,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,111,215,13,29,1,12,0,.135,.399
Daryl Patterson,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,38,13,0,0,0,1,0,.000,.071
Jim Price,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,64,132,12,23,3,13,0,.174,.526
Joe Sparma,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,60,2,8,0,2,0,.133,.298
Mickey Stanley,7,28,4,6,0,1,0,0,2,4,.214,.267,.286,.552,0,1,2,153,583,88,151,11,60,4,.259,.675
Dick Tracewski,2,0,1,0,0,0,0,0,0,0,,,,,0,0,0,90,212,30,33,4,15,3,.156,.475
Don Wert,6,17,1,2,0,0,0,2,6,5,.118,.375,.118,.493,0,0,0,150,536,44,107,12,37,0,.200,.556
Earl Wilson,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,40,88,9,20,7,17,0,.227,.741
Totals,88,231,34,56,4,3,8,33,27,59,.242,.328,.390,.718,0,1,,164,5490,671,1292,185,,26,.235,.692
