
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Mark Belanger,5,15,2,3,0,0,0,1,2,1,.200,.294,.200,.494,0,0,0,150,530,76,152,2,50,14,.287,.696
Paul Blair,5,20,1,2,0,0,0,0,2,5,.100,.182,.100,.282,1,0,0,150,625,102,178,26,76,20,.285,.804
Don Buford,5,20,1,2,1,0,1,2,2,4,.100,.182,.300,.482,0,0,0,144,554,99,161,11,64,19,.291,.814
Mike Cuellar,2,5,0,2,0,0,0,1,0,3,.400,.400,.400,.800,0,0,0,39,103,6,12,0,5,0,.117,.279
Clay Dalrymple,2,2,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,,37,80,8,19,3,6,0,.238,.728
Andy Etchebarren,2,6,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,73,217,29,54,3,26,1,.249,.701
Dick Hall,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,39,7,1,2,0,2,1,.286,.661
Elrod Hendricks,3,10,1,1,0,0,0,0,1,0,.100,.182,.100,.282,0,0,0,105,295,36,72,12,38,0,.244,.716
Davey Johnson,5,16,1,1,0,0,0,0,2,1,.063,.167,.063,.229,0,1,0,142,511,52,143,7,57,3,.280,.743
Dave Leonhard,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,38,21,2,2,0,0,0,.095,.317
Dave May,2,1,0,0,0,0,0,0,1,1,.000,.500,.000,.500,0,0,,78,120,8,29,3,10,2,.242,.672
Dave McNally,2,5,1,1,0,0,1,2,0,2,.200,.200,.800,1.000,0,0,0,41,94,4,8,1,5,0,.085,.295
Curt Motton,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,56,89,15,27,6,21,3,.303,.971
Jim Palmer,1,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,27,64,5,13,0,6,0,.203,.485
Boog Powell,5,19,0,5,0,0,0,0,1,4,.263,.300,.263,.563,0,0,1,152,533,83,162,37,121,1,.304,.942
Merv Rettenmund,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,95,190,27,47,4,25,6,.247,.733
Pete Richert,1,0,0,0,0,0,0,0,0,0,,,,,0,0,1,44,8,0,1,0,0,1,.125,.250
Brooks Robinson,5,19,0,1,0,0,0,2,0,3,.053,.050,.053,.103,0,0,0,156,598,73,140,23,84,2,.234,.693
Frank Robinson,5,16,2,3,0,0,1,1,4,3,.188,.350,.375,.725,0,0,0,148,539,111,166,32,100,9,.308,.955
Chico Salmon,2,0,0,0,0,0,0,0,0,0,,,,,0,0,,52,91,18,27,3,12,0,.297,.826
Eddie Watt,2,0,0,0,0,0,0,0,0,0,,,,,0,0,1,56,8,0,0,0,0,0,.000,.200
Totals,58,157,9,23,1,0,3,9,15,28,.146,.220,.210,.430,1,1,,162,5518,779,1465,175,,82,.265,.756
