
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Tommie Agee,5,18,1,3,0,0,1,1,2,5,.167,.250,.333,.583,1,0,0,149,565,97,153,26,76,12,.271,.806
Ken Boswell,1,3,1,1,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,102,362,48,101,3,32,7,.279,.728
Don Cardwell,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,30,47,3,8,1,5,0,.170,.418
Ed Charles,4,15,1,2,1,0,0,0,0,2,.133,.133,.200,.333,0,0,0,61,169,21,35,3,18,4,.207,.605
Donn Clendenon,4,14,4,5,1,0,3,4,2,6,.357,.438,1.071,1.509,0,0,0,*110,331,45,82,16,51,3,.248,.735
Duffy Dyer,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,29,74,5,19,3,12,0,.257,.741
Wayne Garrett,2,1,0,0,0,0,0,0,2,1,.000,.667,.000,.667,0,0,1,124,400,38,87,1,39,4,.218,.558
Rod Gaspar,3,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,118,215,26,49,1,14,7,.228,.592
Gary Gentry,1,3,0,1,1,0,0,2,0,2,.333,.333,.667,1.000,0,0,0,35,74,2,6,0,1,0,.081,.198
Jerry Grote,5,19,1,4,2,0,0,1,1,3,.211,.250,.316,.566,0,0,0,113,365,38,92,6,40,2,.252,.663
Bud Harrelson,5,17,1,3,0,0,0,0,3,4,.176,.300,.176,.476,0,0,0,123,395,42,98,0,24,1,.248,.647
Cleon Jones,5,19,2,3,1,0,0,0,0,1,.158,.200,.211,.411,0,0,0,137,483,92,164,12,75,16,.340,.904
Jerry Koosman,2,7,0,1,1,0,0,0,0,4,.143,.143,.286,.429,0,0,0,32,84,1,4,0,1,0,.048,.106
Ed Kranepool,1,4,1,1,0,0,1,1,0,0,.250,.250,1.000,1.250,0,0,0,112,353,36,84,11,49,3,.238,.675
J.C. Martin,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,66,177,12,37,4,21,0,.209,.573
Nolan Ryan,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,25,29,3,3,0,2,0,.103,.207
Tom Seaver,2,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,39,91,7,11,0,6,1,.121,.354
Art Shamsky,3,6,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,100,303,42,91,14,47,1,.300,.863
Ron Swoboda,4,15,1,6,1,0,0,1,1,3,.400,.438,.467,.904,0,1,0,109,327,38,77,9,52,1,.235,.687
Ron Taylor,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,59,4,0,1,0,0,0,.250,.500
Al Weis,5,11,1,5,0,0,1,3,4,2,.455,.563,.727,1.290,0,0,1,103,247,20,53,2,23,3,.215,.550
Totals,58,159,15,35,8,0,6,13,15,35,.220,.290,.384,.673,1,1,,162,5427,632,1311,109,,66,.242,.662
