
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Mark Belanger,5,19,0,2,0,0,0,1,1,2,.105,.150,.105,.255,0,0,1,145,459,53,100,1,36,13,.218,.562
Paul Blair,5,19,5,9,1,0,0,3,2,4,.474,.524,.526,1.050,0,1,1,133,480,79,128,18,65,24,.267,.782
Don Buford,4,15,3,4,0,0,1,1,3,2,.267,.389,.467,.856,0,0,0,144,504,99,137,17,66,16,.272,.816
Terry Crowley,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,83,152,25,39,5,20,2,.257,.782
Mike Cuellar,2,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,41,112,6,10,2,7,0,.089,.257
Moe Drabowsky,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,*45,9,0,1,0,0,0,.111,.222
Andy Etchebarren,2,7,1,1,0,0,0,0,2,3,.143,.333,.143,.476,0,0,1,78,230,19,56,4,28,4,.243,.660
Dick Hall,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,32,12,2,1,0,1,0,.083,.167
Elrod Hendricks,3,11,1,4,1,0,1,4,1,2,.364,.417,.727,1.144,0,0,1,106,322,32,78,12,41,1,.242,.699
Davey Johnson,5,16,2,5,2,0,0,2,5,2,.313,.476,.438,.914,0,1,0,149,530,68,149,10,53,2,.281,.753
Marcelino Lopez,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,25,13,0,1,0,0,0,.077,.327
Dave McNally,1,4,1,1,0,0,1,4,0,2,.250,.250,1.000,1.250,0,0,0,41,105,14,14,1,6,0,.133,.461
Jim Palmer,2,7,1,1,0,0,0,0,0,3,.143,.143,.143,.286,0,0,0,44,113,13,17,1,9,0,.150,.342
Tom Phoebus,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,27,43,2,7,0,3,0,.163,.349
Boog Powell,5,17,6,5,1,0,2,5,5,2,.294,.455,.706,1.160,0,0,0,154,526,82,156,35,114,1,.297,.962
Merv Rettenmund,2,5,2,2,0,0,1,2,1,0,.400,.500,1.000,1.500,0,0,0,106,338,60,109,18,58,13,.322,.938
Pete Richert,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,50,4,0,0,0,0,0,.000,.200
Brooks Robinson,5,21,5,9,2,0,2,6,0,2,.429,.429,.810,1.238,0,0,1,158,608,84,168,18,94,1,.276,.764
Frank Robinson,5,22,5,6,0,0,2,4,0,5,.273,.273,.545,.818,0,0,0,132,471,88,144,25,78,2,.306,.918
Chico Salmon,1,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,,63,172,19,43,7,22,2,.250,.683
Eddie Watt,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,53,8,1,1,0,0,0,.125,.250
Totals,55,171,33,50,7,0,10,32,20,33,.292,.366,.509,.875,0,2,,162,5545,792,1424,179,,84,.257,.745
