
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jesus Alou,7,19,0,3,1,0,0,3,0,0,.158,.150,.211,.361,0,0,0,*64,163,17,46,2,19,0,.282,.653
Mike Andrews,2,3,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,2,*70,180,11,36,0,10,0,.200,.557
Sal Bando,7,26,5,6,1,1,0,1,4,7,.231,.333,.346,.679,0,0,1,162,592,97,170,29,98,4,.287,.873
Vida Blue,2,4,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,38,1,0,0,0,0,0,.000,.000
Pat Bourque,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,*80,181,19,37,9,29,1,.204,.742
Bert Campaneris,7,31,6,9,0,1,1,3,1,7,.290,.353,.452,.805,3,0,1,151,601,89,150,4,46,34,.250,.626
Billy Conigliaro,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,48,110,5,22,0,14,1,.200,.507
Vic Davalillo,6,11,0,1,0,0,0,0,2,1,.091,.231,.091,.322,0,0,0,*97,147,14,27,1,7,0,.184,.428
Rollie Fingers,6,3,0,1,0,0,0,0,0,1,.333,.333,.333,.667,0,0,0,62,1,0,0,0,0,0,.000,.000
Ray Fosse,7,19,0,3,1,0,0,0,1,4,.158,.200,.211,.411,0,0,0,143,492,37,126,7,52,2,.256,.644
Dick Green,7,16,0,1,0,0,0,0,1,6,.063,.118,.063,.180,0,1,1,133,332,33,87,3,42,0,.262,.648
Ken Holtzman,3,3,2,2,2,0,0,0,0,0,.667,.667,1.333,2.000,0,0,0,41,0,0,0,0,0,0,,
Catfish Hunter,2,5,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,1,37,1,0,1,0,0,0,1.000,2.000
Reggie Jackson,7,29,3,9,3,1,1,6,2,7,.310,.355,.586,.941,0,0,0,151,539,99,158,32,117,22,.293,.914
Deron Johnson,6,10,0,3,1,0,0,0,1,4,.300,.364,.400,.764,0,0,0,*143,500,64,120,20,86,0,.240,.726
Darold Knowles,7,0,0,0,0,0,0,0,0,0,,,,,0,0,1,53,0,0,0,0,1,0,,
Ted Kubiak,4,3,1,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,106,182,15,40,3,17,1,.220,.580
Allan Lewis,3,0,1,0,0,0,0,0,0,0,,,,,0,0,,35,0,16,0,0,0,7,,
Paul Lindblad,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,36,0,0,0,0,0,0,,
Angel Mangual,5,6,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,74,192,20,43,3,13,1,.224,.560
Blue Moon Odom,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,51,1,5,0,0,0,1,.000,.000
Horacio Pina,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,47,0,0,0,0,0,0,,
Joe Rudi,7,27,3,9,2,0,0,4,3,4,.333,.400,.407,.807,0,1,0,120,437,53,118,12,66,0,.270,.729
Gene Tenace,7,19,0,3,1,0,0,3,11,7,.158,.467,.211,.677,0,2,2,160,510,83,132,24,84,2,.259,.830
Totals,115,241,21,51,12,3,2,20,28,62,.212,.298,.311,.609,3,4,,162,5507,758,1431,147,,128,.260,.722
