
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Rick Auerbach,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,45,73,12,25,1,4,4,.342,.791
Jim Brewer,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,24,2,0,0,0,0,0,.000,.000
Bill Buckner,5,20,1,5,1,0,1,1,0,1,.250,.250,.450,.700,0,0,0,145,580,83,182,7,58,31,.314,.763
Ron Cey,5,17,1,3,0,0,0,0,3,3,.176,.300,.176,.476,0,0,1,159,577,88,151,18,97,1,.262,.746
Willie Crawford,3,6,1,2,0,0,1,1,0,0,.333,.333,.833,1.167,0,0,0,139,468,73,138,11,61,7,.295,.808
Al Downing,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,21,29,3,5,0,2,0,.172,.366
Joe Ferguson,5,16,2,2,0,0,1,2,4,6,.125,.333,.313,.646,1,0,2,111,349,54,88,16,57,2,.252,.815
Steve Garvey,5,21,2,8,0,0,0,1,0,3,.381,.381,.381,.762,0,0,0,156,642,95,200,21,111,5,.312,.811
Charlie Hough,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,49,12,0,0,0,0,0,.000,.077
Von Joshua,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,81,124,11,29,1,16,3,.234,.591
Lee Lacy,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,48,78,13,22,0,8,2,.282,.652
Davey Lopes,5,18,2,2,0,0,0,0,3,4,.111,.238,.111,.349,2,1,0,145,530,95,141,10,35,59,.266,.733
Mike Marshall,5,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,106,34,2,8,0,2,0,.235,.471
Andy Messersmith,2,4,0,2,0,0,0,0,0,2,.500,.500,.500,1.000,0,0,1,39,96,12,23,1,11,0,.240,.666
Tom Paciorek,3,2,1,1,1,0,0,0,0,0,.500,.500,1.000,1.500,0,0,,85,175,23,42,1,24,1,.240,.653
Bill Russell,5,18,0,4,0,1,0,2,0,2,.222,.222,.333,.556,0,0,1,160,553,61,149,5,65,14,.269,.686
Don Sutton,2,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,40,98,7,18,0,7,0,.184,.420
Jim Wynn,5,16,1,3,1,0,1,2,4,4,.188,.333,.438,.771,0,0,0,150,535,104,145,32,108,18,.271,.884
Steve Yeager,4,11,0,4,1,0,0,1,1,4,.364,.417,.455,.871,0,0,1,94,316,41,84,12,41,2,.266,.771
Totals,63,158,11,36,4,1,4,10,16,32,.228,.301,.342,.643,3,1,,162,5557,798,1511,139,,149,.272,.743
