
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Willie Aikens,6,20,5,8,0,1,4,8,6,8,.400,.538,1.100,1.638,0,0,2,151,543,70,151,20,98,1,.278,.789
George Brett,6,24,3,9,2,1,1,3,2,4,.375,.423,.667,1.090,1,0,1,117,449,87,175,24,118,15,.390,1.118
Jose Cardenal,4,10,0,2,0,0,0,0,0,3,.200,.200,.200,.400,0,0,0,*51,95,12,25,0,9,0,.263,.622
Dave Chalk,1,0,1,0,0,0,0,0,1,0,,1.000,,,1,0,0,69,167,19,42,1,20,1,.251,.668
Onix Concepcion,3,0,0,0,0,0,0,0,0,0,,,,,0,0,,12,15,1,2,0,2,0,.133,.267
Rich Gale,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,0,0,0,0,0,0,,
Larry Gura,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,0,0,0,0,0,0,,
Clint Hurdle,4,12,1,5,1,0,0,0,2,1,.417,.500,.500,1.000,1,0,0,130,395,50,116,10,60,0,.294,.807
Pete LaCock,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,114,156,14,32,1,18,1,.205,.547
Dennis Leonard,2,0,0,0,0,0,0,0,0,0,,,,,0,0,1,38,0,0,0,0,0,0,,
Renie Martin,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,0,0,0,0,0,0,,
Hal McRae,6,24,3,9,3,0,0,1,2,2,.375,.423,.500,.923,0,0,,124,489,73,145,14,83,10,.297,.825
Amos Otis,6,23,4,11,2,0,3,7,3,3,.478,.538,.957,1.495,0,0,0,107,394,56,99,10,53,16,.251,.699
Marty Pattin,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,37,0,0,0,0,0,0,,
Darrell Porter,5,14,1,2,0,0,0,0,3,4,.143,.294,.143,.437,0,0,0,118,418,51,104,7,51,1,.249,.696
Dan Quisenberry,6,0,0,0,0,0,0,0,0,0,,,,,0,0,0,75,0,0,0,0,0,0,,
Paul Splittorff,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,0,0,0,0,0,0,,
U.L. Washington,6,22,1,6,0,0,0,2,0,6,.273,.250,.273,.523,0,1,1,153,549,79,150,6,53,20,.273,.711
John Wathan,3,7,1,2,0,0,0,1,2,1,.286,.400,.286,.686,0,0,0,126,453,57,138,6,58,17,.305,.783
Frank White,6,25,0,2,0,0,0,0,1,5,.080,.115,.080,.195,1,0,2,154,560,70,148,7,60,19,.264,.646
Willie Wilson,6,26,3,4,1,0,0,0,4,12,.154,.267,.192,.459,2,0,0,161,705,133,230,3,49,79,.326,.778
Totals,80,207,23,60,9,2,8,22,26,49,.290,.364,.469,.833,6,1,,162,5714,809,1633,115,,185,.286,.758
