
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Bob Boone,6,17,3,7,2,0,0,4,4,0,.412,.500,.529,1.029,0,0,0,141,480,34,110,9,55,3,.229,.637
Larry Bowa,6,24,3,9,1,0,0,2,0,0,.375,.375,.417,.792,3,0,0,147,540,57,144,2,39,21,.267,.622
Warren Brusstar,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,26,1,0,0,0,0,0,.000,.000
Marty Bystrom,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,6,14,1,1,0,1,0,.071,.205
Steve Carlton,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,38,101,7,19,0,6,0,.188,.388
Larry Christenson,1,0,0,0,0,0,0,0,0,0,,,,,0,0,1,14,19,6,7,1,4,0,.368,.981
Greg Gross,4,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,127,154,19,37,0,12,1,.240,.658
Greg Luzinski,3,9,0,0,0,0,0,0,1,5,.000,.182,.000,.182,0,0,0,106,368,44,84,19,56,3,.228,.783
Garry Maddox,6,22,1,5,2,0,0,1,1,3,.227,.250,.318,.568,0,0,0,143,549,59,142,11,73,25,.259,.664
Bake McBride,6,23,3,7,1,0,1,5,2,1,.304,.360,.478,.838,0,1,0,137,554,68,171,9,87,13,.309,.795
Tug McGraw,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,57,8,0,2,0,1,0,.250,.500
Keith Moreland,3,12,1,4,0,0,0,1,0,1,.333,.333,.333,.667,0,0,,62,159,13,50,4,29,3,.314,.781
Dickie Noles,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,48,13,1,4,0,2,0,.308,.615
Ron Reed,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,55,10,0,3,0,0,0,.300,.700
Pete Rose,6,23,2,6,1,0,0,1,2,2,.261,.346,.304,.651,0,1,0,162,655,95,185,1,64,12,.282,.706
Dick Ruthven,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,68,7,16,0,8,1,.235,.595
Kevin Saucier,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,40,8,0,0,0,0,0,.000,.000
Mike Schmidt,6,21,6,8,1,0,2,7,4,3,.381,.462,.714,1.176,0,0,0,150,548,104,157,48,121,12,.286,1.004
Lonnie Smith,6,19,2,5,1,0,0,1,1,1,.263,.300,.316,.616,0,1,0,100,298,69,101,3,20,33,.339,.840
Manny Trillo,6,23,4,5,2,0,0,2,0,0,.217,.208,.304,.513,0,0,1,141,531,68,155,7,43,8,.292,.746
Del Unser,3,6,2,3,2,0,0,2,0,1,.500,.500,.833,1.333,0,0,0,96,110,15,29,0,10,0,.264,.711
Bob Walk,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,27,50,5,7,0,2,0,.140,.378
Totals,76,201,27,59,13,0,3,26,15,17,.294,.342,.403,.745,3,3,,162,5625,728,1517,117,,140,.270,.726
