
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Dwight Bernard,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,47,0,0,0,0,0,0,,
Mike Caldwell,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,0,0,0,0,0,0,,
Cecil Cooper,7,28,3,8,1,0,1,6,1,1,.286,.300,.429,.729,0,0,1,155,654,104,205,32,121,2,.313,.870
Marshall Edwards,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,69,178,24,44,2,14,10,.247,.575
Jim Gantner,7,24,5,8,4,1,0,4,1,1,.333,.360,.583,.943,0,0,5,132,447,48,132,4,43,6,.295,.704
Moose Haas,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,0,0,0,0,0,0,,
Roy Howell,4,11,1,0,0,0,0,0,0,3,.000,.083,.000,.083,0,0,,98,300,31,78,4,38,0,.260,.655
Pete Ladd,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,16,0,0,0,0,0,0,,
Bob McClure,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,0,0,0,0,0,0,,
Doc Medich,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*31,0,0,0,0,0,0,,
Paul Molitor,7,31,5,11,0,0,0,3,2,4,.355,.394,.355,.749,1,1,0,160,666,136,201,19,71,41,.302,.816
Don Money,5,13,4,3,1,0,0,1,2,3,.231,.333,.308,.641,0,0,,96,275,40,78,16,55,0,.284,.891
Charlie Moore,7,26,3,9,3,0,0,2,1,0,.346,.370,.462,.832,0,0,0,133,456,53,116,6,45,2,.254,.659
Ben Oglivie,7,27,4,6,0,1,1,1,2,4,.222,.276,.407,.683,0,1,1,159,602,92,147,34,102,3,.244,.780
Ted Simmons,7,23,2,4,0,0,2,3,5,3,.174,.321,.435,.756,0,0,1,137,539,73,145,23,97,0,.269,.759
Jim Slaton,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,39,0,0,0,0,0,0,,
Don Sutton,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*34,68,3,11,0,1,0,.162,.347
Gorman Thomas,7,26,0,3,0,0,0,3,2,7,.115,.179,.115,.294,0,0,0,158,567,96,139,39,112,3,.245,.850
Pete Vuckovich,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,30,0,0,0,0,0,0,,
Ned Yost,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,40,98,13,27,1,8,3,.276,.752
Robin Yount,7,29,6,12,3,0,1,6,2,2,.414,.452,.621,1.072,0,0,3,156,635,129,210,29,114,14,.331,.957
Totals,86,238,33,64,12,2,5,29,19,28,.269,.324,.399,.723,1,2,,163,5733,891,1599,216,,84,.279,.789
