
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Steve Balboni,7,25,2,8,0,0,0,3,5,4,.320,.433,.320,.753,0,0,0,160,600,74,146,36,88,1,.243,.783
Joe Beckwith,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,49,0,0,0,0,0,0,,
Buddy Biancalana,7,18,2,5,0,0,0,2,5,4,.278,.435,.278,.713,0,0,0,81,138,21,26,1,6,1,.188,.538
Bud Black,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,1,33,0,0,0,0,0,0,,
George Brett,7,27,5,10,1,0,0,1,4,7,.370,.452,.407,.859,1,0,1,155,550,108,184,30,112,9,.335,1.022
Onix Concepcion,3,0,1,0,0,0,0,0,0,0,,,,,0,0,0,131,314,32,64,2,20,4,.204,.500
Dane Iorg,2,2,0,1,0,0,0,2,0,0,.500,.500,.500,1.000,0,0,,64,130,7,29,1,21,0,.223,.599
Danny Jackson,2,6,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,1,32,0,0,0,0,0,0,,
Lynn Jones,6,3,0,2,1,1,0,0,0,0,.667,.667,1.667,2.333,0,0,0,110,152,12,32,0,9,0,.211,.517
Charlie Leibrandt,2,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,33,0,0,0,0,0,0,,
Hal McRae,3,1,0,0,0,0,0,0,1,0,.000,.667,.000,.667,0,0,,112,320,41,83,14,70,0,.259,.799
Darryl Motley,5,11,1,4,0,0,1,3,0,1,.364,.364,.636,1.000,0,1,0,123,383,45,85,17,49,6,.222,.670
Jorge Orta,3,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,0,0,,110,300,32,80,4,45,2,.267,.700
Greg Pryor,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,63,114,8,25,1,3,0,.219,.542
Dan Quisenberry,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,84,0,0,0,0,0,0,,
Bret Saberhagen,2,7,1,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,32,0,0,0,0,0,0,,
Pat Sheridan,5,18,0,4,2,0,0,1,0,7,.222,.222,.333,.556,0,0,0,78,206,18,47,3,17,11,.228,.642
Lonnie Smith,7,27,4,9,3,0,0,4,3,8,.333,.400,.444,.844,2,2,0,*148,544,92,140,6,48,52,.257,.690
Jim Sundberg,7,24,6,6,2,0,0,1,6,4,.250,.400,.333,.733,0,0,0,115,367,38,90,10,35,0,.245,.689
John Wathan,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,60,145,11,34,1,9,1,.234,.643
Frank White,7,28,4,7,3,0,1,6,3,4,.250,.323,.464,.787,1,1,0,149,563,62,140,22,69,10,.249,.698
Willie Wilson,7,30,2,11,0,1,0,3,1,4,.367,.387,.433,.820,3,0,0,141,605,87,168,4,43,43,.278,.724
Totals,92,236,28,68,12,2,2,26,28,56,.288,.366,.381,.747,7,4,,162,5500,687,1384,154,,128,.252,.714
