
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Tony Armas,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,121,425,40,112,11,58,0,.264,.714
Marty Barrett,7,30,1,13,2,0,0,4,5,2,.433,.514,.500,1.014,0,0,0,158,625,94,179,4,60,15,.286,.733
Don Baylor,4,11,1,2,1,0,0,1,1,3,.182,.308,.273,.580,0,0,,160,585,93,139,31,94,3,.238,.783
Wade Boggs,7,31,3,9,3,0,0,3,4,2,.290,.371,.387,.759,0,0,0,149,580,107,207,8,71,0,.357,.939
Oil Can Boyd,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,30,0,0,0,0,0,0,,
Bill Buckner,7,32,2,6,0,0,0,1,0,3,.188,.212,.188,.400,0,0,1,153,629,73,168,18,102,6,.267,.733
Roger Clemens,2,4,1,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,33,0,0,0,0,0,0,,
Steve Crawford,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,40,0,0,0,0,0,0,,
Dwight Evans,7,26,4,8,2,0,2,9,4,3,.308,.400,.615,1.015,0,0,1,152,529,86,137,26,97,3,.259,.853
Rich Gedman,7,30,1,6,1,0,1,1,0,10,.200,.200,.333,.533,0,0,2,135,462,49,119,16,65,1,.258,.739
Mike Greenwell,4,3,0,0,0,0,0,0,1,2,.000,.250,.000,.250,0,0,,31,35,4,11,0,4,0,.314,.771
Dave Henderson,7,25,6,10,1,1,2,5,2,6,.400,.448,.760,1.208,0,0,0,*139,388,59,103,15,47,2,.265,.794
Bruce Hurst,3,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,25,0,0,0,0,0,0,,
Al Nipper,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,26,0,0,0,0,0,0,,
Spike Owen,7,20,2,6,0,0,0,2,5,6,.300,.423,.300,.723,0,0,0,*154,528,67,122,1,45,4,.231,.608
Jim Rice,7,27,6,9,1,1,0,0,6,9,.333,.455,.444,.899,0,0,0,157,618,98,200,20,110,0,.324,.874
Ed Romero,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,100,233,41,49,2,23,2,.210,.553
Joe Sambito,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,53,0,0,0,0,0,0,,
Calvin Schiraldi,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,25,0,0,0,0,0,0,,
Bob Stanley,5,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,66,0,0,0,0,0,0,,
Dave Stapleton,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,39,39,4,5,0,3,0,.128,.325
Totals,92,248,27,69,11,2,5,26,28,53,.278,.356,.399,.755,0,0,,161,5498,794,1488,144,,41,.271,.761
