
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Keith Atherton,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,59,0,0,0,0,0,0,,
Don Baylor,5,13,3,5,0,0,1,3,1,1,.385,.467,.615,1.082,0,0,,*128,388,67,95,16,63,5,.245,.751
Juan Berenguer,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,47,0,0,0,0,0,0,,
Bert Blyleven,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,37,0,0,0,0,0,0,,
Tom Brunansky,7,25,5,5,0,0,0,2,4,4,.200,.310,.200,.510,1,0,0,155,532,83,138,32,85,11,.259,.841
Randy Bush,4,6,1,1,1,0,0,2,0,1,.167,.167,.333,.500,0,0,,122,293,46,74,11,46,10,.253,.762
Sal Butera,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*56,122,8,21,2,14,0,.172,.482
Mark Davidson,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,102,150,32,40,1,14,9,.267,.648
George Frazier,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,54,0,0,0,0,0,0,,
Gary Gaetti,7,27,4,7,2,1,1,4,2,5,.259,.333,.519,.852,2,0,0,154,584,95,150,31,109,10,.257,.788
Greg Gagne,7,30,5,6,1,0,1,3,1,6,.200,.226,.333,.559,0,0,2,137,437,68,116,10,40,6,.265,.740
Dan Gladden,7,31,3,9,2,1,1,7,3,4,.290,.353,.516,.869,2,0,0,121,438,69,109,8,38,25,.249,.673
Kent Hrbek,7,24,4,5,0,0,1,6,5,3,.208,.345,.333,.678,0,0,0,143,477,85,136,34,90,5,.285,.934
Gene Larkin,5,3,1,0,0,0,0,0,1,0,.000,.250,.000,.250,0,0,0,85,233,23,62,4,28,1,.266,.722
Tim Laudner,7,22,4,7,1,0,1,4,5,4,.318,.444,.500,.944,0,0,0,113,288,30,55,16,43,1,.191,.640
Steve Lombardozzi,6,17,3,7,1,0,1,4,2,2,.412,.474,.647,1.121,0,0,0,136,432,51,103,8,38,5,.238,.650
Al Newman,4,5,0,1,0,0,0,0,1,1,.200,.333,.200,.533,0,0,0,110,307,44,68,0,29,15,.221,.601
Joe Niekro,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*27,0,0,0,0,0,0,,
Kirby Puckett,7,28,5,10,1,1,0,3,2,1,.357,.419,.464,.884,1,1,1,157,624,96,207,28,99,12,.332,.900
Jeff Reardon,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,63,0,0,0,0,0,0,,
Dan Schatzeder,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*56,12,1,2,0,0,0,.167,.397
Roy Smalley,4,2,0,1,1,0,0,0,2,0,.500,.750,1.000,1.750,0,0,,110,309,32,85,8,34,2,.275,.763
Les Straker,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,31,0,0,0,0,0,0,,
Frank Viola,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,36,0,0,0,0,0,0,,
Totals,101,238,38,64,10,3,7,38,29,36,.269,.356,.424,.780,6,1,,162,5441,786,1422,196,,113,.261,.758
