
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Don Baylor,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,92,264,28,58,7,34,0,.220,.658
Todd Burns,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,17,0,0,0,0,0,0,,
Greg Cadaret,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,58,0,0,0,0,0,0,,
Jose Canseco,5,19,1,1,0,0,1,5,2,5,.053,.182,.211,.392,1,0,0,158,610,120,187,42,124,40,.307,.959
Storm Davis,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,33,0,0,0,0,0,0,,
Dennis Eckersley,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,60,0,0,0,0,0,0,,
Mike Gallego,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,129,277,38,58,2,20,2,.209,.558
Ron Hassey,5,8,0,2,0,0,0,1,3,3,.250,.455,.250,.705,0,0,0,107,323,32,83,7,45,2,.257,.692
Dave Henderson,5,20,1,6,2,0,0,1,2,7,.300,.364,.400,.764,0,0,0,146,507,100,154,24,94,2,.304,.887
Rick Honeycutt,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,55,0,0,0,0,0,0,,
Glenn Hubbard,4,12,2,3,0,0,0,0,1,2,.250,.308,.250,.558,1,0,1,105,294,35,75,3,33,1,.255,.674
Stan Javier,3,4,0,2,0,0,0,2,0,1,.500,.400,.500,.900,0,0,0,125,397,49,102,2,35,20,.257,.633
Carney Lansford,5,18,2,3,0,0,0,1,2,2,.167,.250,.167,.417,0,0,0,150,556,80,155,7,57,29,.279,.687
Mark McGwire,5,17,1,1,0,0,1,1,3,4,.059,.200,.235,.435,0,0,0,155,550,87,143,32,99,0,.260,.830
Gene Nelson,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,57,0,1,0,0,0,1,,
Dave Parker,4,15,0,3,0,0,0,0,2,4,.200,.294,.200,.494,0,0,0,101,377,43,97,12,55,0,.257,.720
Tony Phillips,2,4,1,1,0,0,0,0,1,2,.250,.400,.250,.650,0,0,0,79,212,32,43,2,17,0,.203,.627
Eric Plunk,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,49,0,0,0,0,0,0,,
Luis Polonia,3,9,1,1,0,0,0,0,0,2,.111,.111,.111,.222,0,0,0,84,288,51,84,2,27,24,.292,.716
Terry Steinbach,3,11,0,4,1,0,0,0,0,2,.364,.364,.455,.818,0,0,0,104,351,42,93,9,51,3,.265,.736
Dave Stewart,2,3,1,0,0,0,0,0,1,3,.000,.250,.000,.250,0,0,0,37,0,0,0,0,0,0,,
Walt Weiss,5,16,1,1,0,0,0,0,0,2,.063,.063,.063,.125,1,0,1,147,452,44,113,3,39,4,.250,.633
Bob Welch,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,0,0,0,0,0,0,,
Curt Young,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,26,0,0,0,0,0,0,,
Totals,71,158,11,28,3,0,2,11,17,41,.177,.260,.234,.494,3,0,,162,5602,800,1474,156,,129,.263,.736
