
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Bill Bathe,2,2,1,1,0,0,1,3,0,0,.500,.500,2.000,2.500,0,0,,30,32,3,9,0,6,0,.281,.585
Steve Bedrosian,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*68,6,0,1,0,0,0,.167,.333
Jeff Brantley,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,59,12,1,1,0,0,0,.083,.167
Brett Butler,4,14,1,4,1,0,0,1,2,1,.286,.375,.357,.732,2,1,0,154,594,100,168,4,36,31,.283,.703
Will Clark,4,16,2,4,1,0,0,0,1,3,.250,.294,.313,.607,0,0,0,159,588,104,196,23,111,8,.333,.953
Kelly Downs,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,18,22,2,2,0,0,0,.091,.182
Scott Garrelts,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,32,66,3,9,0,2,1,.136,.371
Atlee Hammaker,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,28,19,3,7,0,3,0,.368,.789
Terry Kennedy,4,12,1,2,0,0,0,2,1,3,.167,.231,.167,.397,0,0,1,125,355,19,85,5,34,1,.239,.630
Mike LaCoss,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,45,41,1,3,0,1,0,.073,.278
Craig Lefferts,3,0,0,0,0,0,0,0,0,0,,,,,0,0,1,70,7,0,0,0,0,0,.000,.000
Greg Litton,2,6,1,3,1,0,1,3,0,0,.500,.500,1.167,1.667,0,0,0,71,143,12,36,4,17,0,.252,.704
Candy Maldonado,4,11,1,1,0,1,0,0,0,4,.091,.091,.273,.364,0,0,0,129,345,39,75,9,41,4,.217,.659
Kirt Manwaring,1,1,1,1,1,0,0,0,0,0,1.000,1.000,2.000,3.000,0,0,0,85,200,14,42,0,18,2,.210,.514
Kevin Mitchell,4,17,2,5,0,0,1,2,0,3,.294,.294,.471,.765,0,0,1,154,543,100,158,47,125,3,.291,1.023
Donell Nixon,2,5,1,1,0,0,0,0,1,1,.200,.333,.200,.533,0,0,0,95,166,23,44,1,15,10,.265,.606
Ken Oberkfell,4,6,1,2,0,0,0,0,3,0,.333,.556,.333,.889,0,0,1,*97,156,19,42,2,17,0,.269,.675
Rick Reuschel,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,61,2,10,0,3,0,.164,.404
Ernie Riles,4,8,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,122,302,43,84,7,40,0,.278,.743
Don Robinson,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,40,81,7,15,3,7,0,.185,.504
Pat Sheridan,1,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*120,281,36,62,6,29,8,.221,.629
Robby Thompson,4,11,0,1,0,0,0,2,0,4,.091,.083,.091,.174,0,0,0,148,547,91,132,13,50,12,.241,.721
Jose Uribe,3,5,1,1,0,0,0,0,0,0,.200,.200,.200,.400,0,0,0,151,453,34,100,1,30,6,.221,.553
Matt Williams,4,16,1,2,0,0,1,1,0,6,.125,.125,.313,.438,0,0,0,84,292,31,59,18,50,1,.202,.697
Totals,66,134,14,28,4,1,4,14,8,27,.209,.252,.343,.595,2,1,,162,5469,699,1365,141,,87,.250,.706
