
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Steve Avery,2,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,37,79,4,17,0,2,1,.215,.506
Rafael Belliard,7,16,0,6,1,0,0,4,1,2,.375,.389,.438,.826,0,0,0,149,353,36,88,0,27,3,.249,.582
Jeff Blauser,5,6,0,1,0,0,0,0,1,1,.167,.286,.167,.452,0,0,0,129,352,49,91,11,54,5,.259,.767
Sid Bream,7,24,0,3,2,0,0,0,3,4,.125,.222,.208,.431,0,0,0,91,265,32,67,11,45,0,.253,.736
Francisco Cabrera,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,44,95,7,23,4,23,1,.242,.716
Jim Clancy,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,*54,6,0,0,0,0,0,.000,.000
Ron Gant,7,30,3,8,0,1,0,4,2,3,.267,.313,.333,.646,1,0,0,154,561,101,141,32,105,34,.251,.834
Tom Glavine,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,36,74,1,17,0,6,1,.230,.531
Tommy Gregg,4,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,,72,107,13,20,1,4,2,.187,.583
Brian Hunter,7,21,2,4,1,0,1,3,0,2,.190,.182,.381,.563,0,0,1,97,271,32,68,12,50,0,.251,.746
David Justice,7,27,5,7,0,0,2,6,5,5,.259,.375,.481,.856,2,0,1,109,396,67,109,21,87,8,.275,.880
Charlie Leibrandt,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,70,1,3,0,2,0,.043,.182
Mark Lemke,6,24,4,10,1,3,0,4,2,4,.417,.462,.708,1.170,0,0,1,136,269,36,63,2,23,1,.234,.617
Kent Mercker,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,50,10,0,1,0,2,0,.100,.282
Keith Mitchell,3,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,1,0,48,66,11,21,2,5,3,.318,.801
Greg Olson,7,27,3,6,2,0,0,1,5,4,.222,.344,.296,.640,1,0,0,133,411,46,99,6,44,1,.241,.662
Alejandro Pena,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*59,1,0,0,0,0,0,.000,.000
Terry Pendleton,7,30,6,11,3,0,2,3,3,1,.367,.424,.667,1.091,0,0,2,153,586,94,187,22,86,10,.319,.880
Lonnie Smith,7,26,5,6,0,0,3,3,3,4,.231,.333,.577,.910,1,0,0,122,353,58,97,7,44,9,.275,.771
John Smoltz,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,38,65,7,7,0,3,0,.108,.325
Randy St. Claire,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,19,2,0,1,0,0,0,.500,1.000
Mike Stanton,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,74,6,0,3,0,1,0,.500,1.238
Jeff Treadway,3,4,1,1,0,0,0,0,1,2,.250,.400,.250,.650,0,0,1,106,306,41,98,3,32,2,.320,.787
Jerry Willard,1,0,0,0,0,0,0,1,0,0,,.000,,,0,0,,17,14,1,3,1,4,0,.214,.741
Mark Wohlers,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,17,1,0,0,0,0,0,.000,.000
Totals,106,249,29,63,10,4,8,29,26,39,.253,.323,.422,.744,5,1,,162,5456,749,1407,141,,165,.258,.722
