
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Rick Aguilera,4,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,63,0,0,0,0,0,0,,
Steve Bedrosian,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,56,0,0,0,0,0,0,,
Jarvis Brown,3,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,38,37,10,8,0,0,7,.216,.473
Randy Bush,3,4,0,1,0,0,0,0,0,1,.250,.250,.250,.500,0,0,0,93,165,21,50,6,23,0,.303,.886
Chili Davis,6,18,4,4,0,0,2,4,2,3,.222,.300,.556,.856,0,0,0,153,534,84,148,29,93,5,.277,.892
Scott Erickson,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,32,0,0,0,0,0,0,,
Greg Gagne,7,24,1,4,1,0,1,3,0,7,.167,.167,.333,.500,0,0,0,139,408,52,108,8,42,11,.265,.705
Dan Gladden,7,30,5,7,2,2,0,0,3,4,.233,.303,.433,.736,2,1,1,126,461,65,114,6,52,15,.247,.662
Mark Guthrie,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,42,0,0,0,0,0,0,,
Brian Harper,7,21,2,8,2,0,0,1,2,2,.381,.435,.476,.911,0,0,1,123,441,54,137,10,69,1,.311,.783
Kent Hrbek,7,26,2,3,1,0,1,2,2,6,.115,.207,.269,.476,0,0,0,132,462,72,131,20,89,4,.284,.834
Chuck Knoblauch,7,26,3,8,1,0,0,2,4,2,.308,.387,.346,.733,4,0,1,151,565,78,159,1,50,25,.281,.701
Gene Larkin,4,4,0,2,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,,98,255,34,73,2,19,2,.286,.734
Terry Leach,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,50,0,0,0,0,0,0,,
Scott Leius,7,14,2,5,0,0,1,2,1,2,.357,.400,.571,.971,0,1,1,109,199,35,57,5,20,5,.286,.795
Shane Mack,6,23,0,3,1,0,0,1,0,7,.130,.130,.174,.304,0,1,0,143,442,79,137,18,74,13,.310,.893
Jack Morris,3,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,35,0,0,0,0,0,0,,
Al Newman,4,2,0,1,0,1,0,1,0,0,.500,.500,1.500,2.000,0,0,0,118,246,25,47,0,19,4,.191,.471
Junior Ortiz,3,5,0,1,0,0,0,1,0,1,.200,.200,.200,.400,0,0,0,61,134,9,28,0,11,0,.209,.555
Mike Pagliarulo,6,11,1,3,0,0,1,2,1,2,.273,.333,.545,.879,0,0,0,121,365,38,102,6,36,1,.279,.706
Kirby Puckett,7,24,4,6,0,1,2,4,5,7,.250,.367,.583,.950,1,0,0,152,611,92,195,15,89,11,.319,.812
Paul Sorrento,3,2,0,0,0,0,0,0,1,2,.000,.333,.000,.333,0,0,0,26,47,6,12,4,13,0,.255,.867
Kevin Tapani,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,34,0,0,0,0,0,0,,
David West,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,15,0,0,0,0,0,0,,
Carl Willis,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,40,0,0,0,0,0,0,,
Totals,113,241,24,56,8,4,8,24,21,48,.232,.294,.398,.693,7,3,,162,5556,776,1557,140,,107,.280,.764
