
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Roberto Alomar,6,25,5,12,2,1,0,6,2,3,.480,.519,.640,1.159,4,2,2,153,589,109,192,17,93,55,.326,.900
Pat Borders,6,23,2,7,0,0,0,1,2,1,.304,.360,.304,.664,0,0,1,138,488,38,124,9,55,2,.254,.656
Rob Butler,2,2,1,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,,17,48,8,13,0,2,2,.271,.729
Willie Canate,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,38,47,12,10,1,3,1,.213,.586
Joe Carter,6,25,6,7,1,0,2,8,0,4,.280,.250,.560,.810,0,0,2,155,603,92,153,33,121,8,.254,.802
Tony Castillo,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,51,0,0,0,0,0,0,,
Danny Cox,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,44,0,0,0,0,0,0,,
Mark Eichhorn,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,54,0,0,0,0,0,0,,
Tony Fernandez,6,21,2,7,1,0,0,9,3,3,.333,.423,.381,.804,0,1,0,*142,526,65,147,5,64,21,.279,.742
Alfredo Griffin,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,46,95,15,20,0,3,0,.211,.477
Juan Guzman,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,33,0,0,0,0,0,0,,
Rickey Henderson,6,22,6,5,2,0,0,2,5,2,.227,.393,.318,.711,1,1,0,*134,481,114,139,21,59,53,.289,.906
Pat Hentgen,1,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,34,0,0,0,0,0,0,,
Randy Knorr,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,39,101,11,25,4,20,0,.248,.745
Al Leiter,3,1,0,1,1,0,0,0,0,0,1.000,1.000,2.000,3.000,0,0,0,34,0,0,0,0,0,0,,
Paul Molitor,6,24,10,12,2,2,2,8,3,0,.500,.571,1.000,1.571,1,0,0,160,636,121,211,22,111,22,.332,.911
John Olerud,5,17,5,4,1,0,1,2,4,1,.235,.364,.471,.834,0,0,0,158,551,109,200,24,107,0,.363,1.072
Ed Sprague,5,15,0,1,0,0,0,2,1,6,.067,.111,.067,.178,0,0,2,150,546,50,142,12,73,1,.260,.696
Dave Stewart,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,26,0,0,0,0,0,0,,
Todd Stottlemyre,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,30,0,0,0,0,0,0,,
Mike Timlin,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,54,0,0,0,0,0,0,,
Duane Ward,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,71,0,0,0,0,0,0,,
Devon White,6,24,8,7,3,2,1,7,4,7,.292,.393,.708,1.101,1,0,0,146,598,116,163,15,52,34,.273,.779
Totals,80,206,45,64,13,5,6,45,25,30,.311,.382,.510,.891,7,4,,162,5579,847,1556,159,,170,.279,.786
