
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Steve Avery,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,53,4,11,2,4,0,.208,.596
Rafael Belliard,6,16,0,0,0,0,0,1,0,4,.000,.000,.000,.000,0,0,2,75,180,12,40,0,7,2,.222,.500
Pedro Borbon,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,41,1,0,0,0,0,0,.000,.000
Brad Clontz,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,59,2,0,0,0,0,0,.000,.000
Mike Devereaux,5,4,0,1,0,0,0,1,2,1,.250,.500,.250,.750,0,0,1,*121,388,55,116,11,63,8,.299,.793
Tom Glavine,2,4,0,0,0,0,0,0,1,2,.000,.200,.000,.200,0,0,0,29,63,6,14,1,8,0,.222,.543
Marquis Grissom,6,25,3,9,1,0,0,1,1,3,.360,.407,.400,.807,3,1,0,139,551,80,142,12,42,29,.258,.693
Chipper Jones,6,21,3,6,3,0,0,1,4,3,.286,.385,.429,.813,0,0,1,140,524,87,139,23,86,8,.265,.803
David Justice,6,20,3,5,1,0,1,5,5,1,.250,.400,.450,.850,0,0,0,120,411,73,104,24,78,4,.253,.844
Ryan Klesko,6,16,4,5,0,0,3,4,3,4,.313,.421,.875,1.296,0,0,0,107,329,48,102,23,70,5,.310,1.004
Mark Lemke,6,22,1,6,0,0,0,0,3,2,.273,.360,.273,.633,0,1,1,116,399,42,101,5,38,2,.253,.681
Javy Lopez,6,17,1,3,2,0,1,3,1,1,.176,.263,.471,.734,0,0,0,100,333,37,105,14,51,0,.315,.842
Greg Maddux,2,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,28,72,8,11,0,0,0,.153,.367
Fred McGriff,6,23,5,6,2,0,2,3,3,7,.261,.346,.609,.955,1,0,1,144,528,85,148,27,93,3,.280,.850
Greg McMichael,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,67,6,0,0,0,0,0,.000,.143
Kent Mercker,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,48,1,5,0,5,0,.104,.271
Mike Mordecai,3,3,0,1,0,0,0,0,0,1,.333,.333,.333,.667,0,0,0,69,75,10,21,3,11,0,.280,.833
Charlie O'Brien,2,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,67,198,18,45,9,23,0,.227,.742
Alejandro Pena,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*44,1,0,0,0,0,0,.000,.000
Luis Polonia,6,14,3,4,1,0,1,4,1,3,.286,.333,.571,.905,1,0,0,*95,291,43,76,2,17,13,.261,.679
Dwight Smith,3,2,0,1,0,0,0,0,1,0,.500,.667,.500,1.167,0,0,,103,131,16,33,3,21,0,.252,.739
John Smoltz,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,56,5,6,0,1,0,.107,.313
Mark Wohlers,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,65,3,0,0,0,0,0,.000,.000
Totals,86,193,23,47,10,0,8,23,25,34,.244,.335,.420,.755,5,2,,144,4814,645,1202,168,,73,.250,.735
