
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Sandy Alomar,7,30,5,11,1,0,2,10,2,3,.367,.406,.600,1.006,0,0,0,125,451,63,146,21,83,0,.324,.900
Brian Anderson,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,8,0,0,0,0,0,0,,
Paul Assenmacher,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,75,0,0,0,0,0,0,,
Jeff Branson,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,*94,170,14,34,3,12,1,.200,.568
Tony Fernandez,5,17,1,8,1,0,0,4,0,1,.471,.444,.529,.974,0,0,2,120,409,55,117,11,44,6,.286,.746
Brian Giles,5,4,1,2,1,0,0,2,4,1,.500,.750,.750,1.500,0,1,0,130,377,62,101,17,61,13,.268,.827
Marquis Grissom,7,25,5,9,1,0,0,2,4,4,.360,.448,.400,.848,0,0,1,144,558,74,146,12,66,22,.262,.713
Orel Hershiser,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,32,3,0,0,0,0,0,.000,.250
Michael Jackson,4,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,71,0,0,0,0,0,0,,
Jeff Juden,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*30,43,1,6,0,4,0,.140,.364
David Justice,7,27,4,5,0,0,0,4,6,8,.185,.333,.185,.519,0,1,0,139,495,84,163,33,101,3,.329,1.013
Jose Mesa,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,66,0,0,0,0,0,0,,
Alvin Morman,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,1,0,0,0,0,0,.000,.000
Charles Nagy,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,5,1,1,0,0,0,.200,.400
Chad Ogea,2,4,1,2,1,0,0,2,0,1,.500,.500,.750,1.250,0,0,0,21,2,0,0,0,0,0,.000,.000
Eric Plunk,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,56,1,0,0,0,0,0,.000,.000
Manny Ramirez,7,26,3,4,0,0,2,6,6,5,.154,.294,.385,.679,0,0,1,150,561,99,184,26,88,2,.328,.953
Bip Roberts,6,22,3,6,4,0,0,4,3,5,.273,.360,.455,.815,0,1,0,*120,431,63,130,4,44,18,.302,.730
Kevin Seitzer,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,64,198,27,53,2,24,0,.268,.694
Jim Thome,7,28,8,8,0,1,2,4,5,7,.286,.394,.571,.965,0,0,1,147,496,104,142,40,102,1,.286,1.001
Omar Vizquel,7,30,5,7,2,0,0,1,3,5,.233,.303,.300,.603,5,0,0,153,565,89,158,5,49,43,.280,.715
Matt Williams,7,26,8,10,1,0,1,3,7,6,.385,.515,.538,1.054,0,0,0,151,596,86,157,32,105,12,.263,.795
Jaret Wright,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,16,3,0,0,0,0,0,.000,.000
Totals,99,247,44,72,12,1,7,42,40,51,.291,.386,.433,.819,5,3,,161,5556,868,1589,220,,118,.286,.825
