
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Kurt Abbott,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,94,252,35,69,6,30,3,.274,.747
Antonio Alfonseca,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,17,3,0,0,0,0,0,.000,.000
Moises Alou,7,28,6,9,2,0,3,9,3,6,.321,.387,.714,1.101,1,0,0,150,538,88,157,23,115,9,.292,.866
Alex Arias,2,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,74,93,13,23,1,11,0,.247,.653
Bobby Bonilla,7,29,5,6,1,0,1,3,3,5,.207,.281,.345,.626,0,0,2,153,562,77,167,17,96,6,.297,.846
Kevin Brown,2,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,33,72,4,9,0,4,0,.125,.321
John Cangelosi,3,3,0,1,0,0,0,0,0,2,.333,.333,.333,.667,0,0,,103,192,28,47,1,12,5,.245,.623
Jeff Conine,6,13,1,3,0,0,0,2,0,0,.231,.231,.231,.462,0,0,0,151,405,46,98,17,61,2,.242,.742
Dennis Cook,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,61,9,2,5,1,2,0,.556,1.444
Craig Counsell,7,22,4,4,1,0,0,2,6,5,.182,.345,.227,.572,1,0,1,*52,164,20,49,1,16,1,.299,.773
Darren Daulton,7,18,7,7,2,0,1,2,3,0,.389,.455,.667,1.121,1,0,0,*136,395,68,104,14,63,6,.263,.841
Jim Eisenreich,5,8,1,4,0,0,1,3,3,1,.500,.636,.875,1.511,0,0,0,120,293,36,82,2,34,0,.280,.717
Cliff Floyd,4,2,1,0,0,0,0,0,1,1,.000,.333,.000,.333,0,0,,61,137,23,32,6,19,6,.234,.799
Felix Heredia,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,56,2,0,1,0,0,0,.500,1.000
Livan Hernandez,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,17,29,2,5,0,2,0,.172,.441
Charles Johnson,7,28,4,10,0,0,1,3,1,6,.357,.379,.464,.844,0,0,0,124,416,43,104,19,63,0,.250,.802
Al Leiter,2,0,0,0,0,0,0,0,2,0,,1.000,,,0,0,1,27,48,2,5,0,1,0,.104,.261
Robb Nen,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,73,0,0,0,0,0,0,,
Jay Powell,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,74,4,0,2,0,1,0,.500,1.000
Edgar Renteria,7,31,3,9,2,0,0,3,3,5,.290,.353,.355,.708,0,0,1,154,617,90,171,4,52,32,.277,.668
Tony Saunders,1,0,0,0,0,0,0,0,0,0,,,,,0,0,1,22,37,2,3,1,1,0,.081,.290
Gary Sheffield,7,24,4,7,1,0,1,5,8,5,.292,.485,.458,.943,0,0,1,135,444,86,111,21,71,11,.250,.870
Ed Vosberg,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*59,0,0,0,0,0,0,,
Devon White,7,33,0,8,3,1,0,2,3,10,.242,.306,.394,.699,1,0,0,74,265,37,65,6,34,13,.245,.707
Gregg Zaun,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,58,143,21,43,2,20,1,.301,.856
Totals,108,250,37,68,12,1,8,34,36,48,.272,.363,.424,.787,4,0,,162,5439,740,1410,136,,115,.259,.741
