
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Andy Ashby,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,72,1,8,0,2,0,.111,.274
Brian Boehringer,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,56,7,0,0,0,0,0,.000,.125
Kevin Brown,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,36,82,4,17,0,10,0,.207,.488
Ken Caminiti,4,14,1,2,1,0,0,1,2,7,.143,.235,.214,.450,0,0,2,131,452,87,114,29,82,6,.252,.862
Steve Finley,3,12,0,1,1,0,0,0,0,2,.083,.083,.167,.250,1,0,0,159,619,92,154,14,67,12,.249,.702
Chris Gomez,4,11,2,4,0,1,0,0,1,1,.364,.417,.545,.962,0,0,0,145,449,55,120,4,39,1,.267,.725
Tony Gwynn,4,16,2,8,0,0,1,3,1,0,.500,.529,.688,1.217,0,0,0,127,461,65,148,16,69,3,.321,.865
Joey Hamilton,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,71,1,10,1,6,0,.141,.364
Carlos Hernandez,4,10,0,2,0,0,0,0,0,3,.200,.200,.200,.400,0,0,0,129,390,34,102,9,52,2,.262,.674
Sterling Hitchcock,1,2,1,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,39,50,5,7,0,2,0,.140,.297
Trevor Hoffman,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,66,3,0,0,0,0,0,.000,.000
Wally Joyner,3,8,0,0,0,0,0,0,3,1,.000,.273,.000,.273,0,0,0,131,439,58,131,12,80,1,.298,.824
Mark Langston,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,23,24,0,2,0,2,0,.083,.279
Jim Leyritz,4,10,0,0,0,0,0,0,1,4,.000,.091,.000,.091,0,0,0,*114,272,34,75,12,42,0,.276,.851
Dan Miceli,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,67,1,0,1,0,0,0,1.000,2.000
Greg Myers,2,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,69,171,19,42,4,20,0,.246,.686
Randy Myers,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*62,1,0,0,0,0,0,.000,.000
Ruben Rivera,3,5,1,4,2,0,0,1,0,0,.800,.800,1.200,2.000,0,0,0,95,172,31,36,6,29,5,.209,.703
Andy Sheets,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,88,194,31,47,7,29,7,.242,.725
Mark Sweeney,3,3,0,2,0,0,0,1,0,0,.667,.667,.667,1.333,0,0,,122,192,17,45,2,15,1,.234,.663
John Vander Wal,4,5,0,2,1,0,0,0,0,2,.400,.400,.600,1.000,0,0,0,*109,129,21,36,5,20,0,.279,.893
Greg Vaughn,4,15,3,2,0,0,2,4,1,2,.133,.176,.533,.710,0,0,1,158,573,112,156,50,119,11,.272,.960
Quilvio Veras,4,15,3,3,2,0,0,1,3,4,.200,.333,.333,.667,0,0,0,138,517,79,138,6,45,24,.267,.729
Donne Wall,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,46,7,0,2,0,0,0,.286,.571
Totals,64,134,13,32,7,1,3,11,12,29,.239,.297,.373,.670,1,0,,162,5490,749,1390,167,,79,.253,.739
