
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Kurt Abbott,5,8,0,2,1,0,0,0,1,3,.250,.333,.375,.708,0,0,0,79,157,22,34,6,12,1,.217,.672
Benny Agbayani,5,18,2,5,2,0,0,2,3,6,.278,.381,.389,.770,0,0,0,119,350,59,101,15,60,5,.289,.868
Edgardo Alfonzo,5,21,1,3,0,0,0,1,1,5,.143,.217,.143,.360,0,0,0,150,544,109,176,25,94,3,.324,.967
Armando Benitez,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,76,0,0,0,0,0,0,,
Mike Bordick,4,8,0,1,0,0,0,0,0,3,.125,.125,.125,.250,0,0,1,*156,583,88,166,20,80,9,.285,.783
Dennis Cook,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,68,0,0,0,0,0,0,,
John Franco,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,62,1,0,0,0,0,0,.000,.000
Matt Franco,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,101,134,9,32,2,14,0,.239,.653
Darryl Hamilton,4,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,,43,105,20,29,1,6,2,.276,.720
Mike Hampton,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,73,7,20,0,8,0,.274,.586
Lenny Harris,3,4,1,0,0,0,0,0,1,1,.000,.200,.000,.200,0,0,,*112,223,31,58,4,26,13,.260,.698
Bobby Jones,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,27,44,4,2,0,0,0,.045,.170
Al Leiter,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,31,58,1,3,0,0,0,.052,.165
Joe McEwing,3,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,87,153,20,34,2,19,3,.222,.614
Jay Payton,5,21,3,7,0,0,1,3,0,5,.333,.333,.476,.810,0,0,2,149,488,63,142,17,62,5,.291,.778
Timo Perez,5,16,1,2,0,0,0,0,1,4,.125,.176,.125,.301,0,0,1,24,49,11,14,1,3,1,.286,.803
Mike Piazza,5,22,3,6,2,0,2,4,0,4,.273,.273,.636,.909,0,1,0,136,482,90,156,38,113,4,.324,1.012
Todd Pratt,1,2,1,0,0,0,0,0,1,2,.000,.600,.000,.600,0,0,0,80,160,33,44,8,25,0,.275,.840
Rick Reed,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,30,49,6,10,0,2,0,.204,.430
Glendon Rusch,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,31,50,2,3,0,1,0,.060,.173
Bubba Trammell,4,5,1,2,0,0,0,3,1,1,.400,.429,.400,.829,0,0,1,*102,245,28,65,10,45,4,.265,.802
Robin Ventura,5,20,1,3,1,0,1,1,1,5,.150,.190,.350,.540,0,0,0,141,469,61,109,24,84,3,.232,.777
Turk Wendell,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,77,4,0,1,0,0,0,.250,.500
Rick White,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*68,5,0,1,0,0,0,.200,.400
Todd Zeile,5,20,1,8,2,0,0,1,1,5,.400,.429,.500,.929,0,0,0,153,544,67,146,22,79,3,.268,.823
Totals,81,175,16,40,8,0,4,15,11,48,.229,.284,.343,.627,0,1,,162,5486,807,1445,198,,66,.263,.776
