
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Brian Anderson,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,37,1,5,0,2,0,.135,.351
Rod Barajas,2,5,1,2,0,0,1,1,0,0,.400,.400,1.000,1.400,0,0,0,51,106,9,17,3,9,0,.160,.464
Miguel Batista,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,48,32,2,2,0,0,0,.063,.180
Danny Bautista,5,12,1,7,2,0,0,7,1,1,.583,.615,.750,1.365,0,0,0,100,222,26,67,5,26,3,.302,.783
Jay Bell,3,7,3,1,0,0,0,1,0,2,.143,.143,.143,.286,0,0,0,129,428,59,106,13,46,0,.248,.749
Troy Brohawn,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,59,1,0,0,0,0,0,.000,.000
Greg Colbrunn,1,5,2,2,0,0,0,1,1,1,.400,.500,.400,.900,0,0,0,59,97,12,28,4,18,0,.289,.868
Craig Counsell,6,24,1,2,0,0,1,1,0,7,.083,.120,.208,.328,0,0,0,141,458,76,126,4,38,6,.275,.721
Midre Cummings,2,0,2,0,0,0,0,0,0,0,,,,,0,0,,20,20,1,6,0,1,0,.300,.636
David Dellucci,2,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,115,217,28,60,10,40,2,.276,.828
Erubiel Durazo,4,11,0,4,1,0,0,1,3,4,.364,.500,.455,.955,0,0,,92,175,34,47,12,38,0,.269,.909
Steve Finley,6,19,5,7,0,0,1,2,4,5,.368,.478,.526,1.005,0,1,0,140,495,66,136,14,73,11,.275,.767
Luis Gonzalez,7,27,4,7,2,0,1,5,1,11,.259,.333,.444,.778,0,0,0,162,609,128,198,57,142,1,.325,1.117
Mark Grace,6,19,1,5,1,0,1,3,4,1,.263,.391,.474,.865,0,0,1,145,476,66,142,15,78,1,.298,.852
Randy Johnson,3,7,2,1,0,0,0,1,0,2,.143,.143,.143,.286,0,0,0,35,80,2,8,0,2,0,.100,.243
Byung-Hyun Kim,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,78,6,0,1,0,2,0,.167,.333
Albie Lopez,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*33,29,0,1,0,0,0,.034,.159
Damian Miller,6,21,3,4,2,0,0,2,1,11,.190,.261,.286,.547,0,0,1,123,380,45,103,13,47,0,.271,.761
Mike Morgan,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,31,0,0,0,0,0,0,,
Reggie Sanders,6,23,6,7,1,0,0,1,1,7,.304,.360,.348,.708,1,0,0,126,441,84,116,33,90,14,.263,.886
Curt Schilling,3,6,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,35,83,4,11,0,1,0,.133,.287
Greg Swindell,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,64,0,0,0,0,0,0,,
Matt Williams,7,26,3,7,2,0,1,7,0,6,.269,.250,.462,.712,0,0,0,106,408,58,112,16,65,1,.275,.780
Bobby Witt,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,14,12,0,3,0,0,0,.250,.500
Tony Womack,7,32,3,8,3,0,0,3,1,7,.250,.294,.344,.638,1,1,1,125,481,66,128,3,30,28,.266,.652
Totals,90,246,37,65,14,0,6,36,17,70,.264,.325,.394,.719,2,2,,162,5595,818,1494,208,,71,.267,.783
