
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Garret Anderson,7,32,3,9,1,0,0,6,0,3,.281,.281,.313,.594,0,0,1,158,638,93,195,29,123,6,.306,.871
Kevin Appier,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,2,0,0,0,0,0,.000,.000
Brendan Donnelly,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,46,0,0,0,0,0,0,,
David Eckstein,7,29,6,9,0,0,0,3,3,2,.310,.364,.310,.674,1,0,0,152,608,107,178,8,63,21,.293,.752
Darin Erstad,7,30,6,9,3,0,1,3,1,4,.300,.313,.500,.813,1,0,1,150,625,99,177,10,73,23,.283,.702
Chone Figgins,2,0,1,0,0,0,0,0,0,0,,,,,0,0,,15,12,6,2,0,1,2,.167,.417
Brad Fullmer,5,15,3,4,0,0,0,1,2,2,.267,.353,.267,.620,2,0,,130,429,75,124,19,59,10,.289,.888
Benji Gil,3,5,1,4,1,0,0,0,0,1,.800,.800,1.000,1.800,0,0,0,61,130,11,37,3,20,2,.285,.737
Troy Glaus,7,26,7,10,3,0,3,8,4,6,.385,.467,.846,1.313,0,0,1,156,569,99,142,30,111,10,.250,.805
Adam Kennedy,7,25,1,7,2,0,0,2,0,7,.280,.308,.360,.668,0,0,0,144,474,65,148,7,52,17,.312,.795
John Lackey,3,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,18,0,0,0,0,0,0,,
Bengie Molina,7,21,2,6,2,0,0,2,3,1,.286,.375,.381,.756,0,0,1,122,428,34,105,5,47,0,.245,.596
Jose Molina,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,70,5,19,0,5,0,.271,.626
Alex Ochoa,5,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*122,280,40,73,8,31,10,.261,.765
Ramon Ortiz,1,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,32,7,0,0,0,0,0,.000,.000
Orlando Palmeiro,4,4,1,1,1,0,0,0,0,2,.250,.250,.500,.750,0,0,,110,263,35,79,0,31,7,.300,.722
Troy Percival,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,58,0,0,0,0,0,0,,
Francisco Rodriguez,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,5,0,0,0,0,0,0,,
Tim Salmon,7,26,7,9,1,0,2,5,4,7,.346,.452,.615,1.067,1,0,1,138,483,84,138,22,88,6,.286,.883
Scott Schoeneweis,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,54,2,0,0,0,0,0,.000,.000
Scot Shields,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,0,0,0,0,0,0,,
Scott Spiezio,7,23,3,6,1,1,1,8,6,1,.261,.400,.522,.922,1,0,0,153,491,80,140,12,82,6,.285,.807
Jarrod Washburn,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,32,5,0,1,0,0,0,.200,.400
Ben Weber,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,63,0,0,0,0,0,0,,
Shawn Wooten,3,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,49,113,13,33,3,19,2,.292,.773
Totals,108,245,41,76,15,1,7,38,23,38,.310,.370,.465,.835,6,0,,162,5678,851,1603,152,,117,.282,.773
