
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Ezequiel Astacio,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,22,21,0,3,0,0,0,.143,.286
Brad Ausmus,4,16,1,4,1,0,0,0,1,3,.250,.333,.313,.646,0,0,0,134,387,35,100,3,47,5,.258,.682
Brandon Backe,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,28,45,5,10,0,6,1,.222,.626
Jeff Bagwell,4,8,1,1,0,0,0,0,0,1,.125,.300,.125,.425,0,0,,39,100,11,25,3,19,0,.250,.738
Lance Berkman,4,13,0,5,2,0,0,6,5,5,.385,.526,.538,1.065,1,0,0,132,468,76,137,24,82,4,.293,.934
Craig Biggio,4,18,3,4,1,0,0,1,1,4,.222,.263,.278,.541,0,0,0,155,590,94,156,26,69,11,.264,.792
Eric Bruntlett,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,91,109,19,24,4,14,7,.220,.705
Chris Burke,4,5,1,0,0,0,0,0,2,0,.000,.286,.000,.286,2,0,0,108,318,49,79,5,26,11,.248,.676
Roger Clemens,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,58,2,12,0,4,0,.207,.523
Morgan Ensberg,4,18,2,2,0,0,1,2,1,7,.111,.158,.278,.436,0,0,1,150,526,86,149,36,101,6,.283,.945
Adam Everett,4,15,2,1,0,0,0,0,1,4,.067,.125,.067,.192,0,1,1,152,549,58,136,11,54,21,.248,.654
Mike Gallo,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,36,0,0,0,0,0,0,,
Mike Lamb,4,10,1,2,1,0,1,1,2,3,.200,.333,.600,.933,0,0,0,125,322,41,76,12,53,1,.236,.703
Jason Lane,4,18,1,4,1,0,1,2,1,5,.222,.263,.444,.708,1,0,0,145,517,65,138,26,78,6,.267,.815
Brad Lidge,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,70,0,0,0,0,0,0,,
Roy Oswalt,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,35,73,1,13,0,2,0,.178,.389
Orlando Palmeiro,2,2,0,0,0,0,0,0,2,0,.000,.500,.000,.500,0,0,0,114,204,22,58,3,20,3,.284,.772
Andy Pettitte,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,33,62,1,5,0,3,0,.081,.174
Chad Qualls,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,77,1,0,0,0,0,0,.000,.000
Wandy Rodriguez,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,25,40,3,6,0,1,0,.150,.340
Russ Springer,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,62,0,0,0,0,0,0,,
Willy Taveras,4,15,2,5,2,1,0,0,0,3,.333,.412,.600,1.012,1,0,0,152,592,82,172,3,29,34,.291,.666
Jose Vizcaino,3,2,0,1,0,0,0,2,1,0,.500,.667,.500,1.167,0,0,0,98,187,15,46,1,23,2,.246,.636
Dan Wheeler,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,71,0,0,0,0,0,0,,
Totals,66,143,14,29,8,1,3,14,17,36,.203,.307,.336,.643,5,1,,163,5462,693,1400,161,,115,.256,.730
