
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Ronnie Belliard,3,12,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,*147,544,63,148,13,67,2,.272,.725
Chris Carpenter,1,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,32,71,2,9,0,2,0,.127,.254
Chris Duncan,3,8,1,1,1,0,0,1,2,3,.125,.300,.250,.550,0,0,1,90,280,60,82,22,43,0,.293,.952
David Eckstein,5,22,3,8,3,0,0,4,1,1,.364,.391,.500,.891,0,0,0,123,500,68,146,2,23,7,.292,.694
Jim Edmonds,5,17,1,4,2,0,0,4,3,8,.235,.350,.353,.703,0,0,0,110,350,52,90,19,70,4,.257,.822
Juan Encarnacion,3,8,0,0,0,0,0,1,1,2,.000,.111,.000,.111,0,0,1,153,557,74,155,19,79,6,.278,.760
Randy Flores,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,65,0,0,0,0,0,0,,
Tyler Johnson,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,56,1,0,0,0,0,0,.000,.000
Josh Kinney,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,21,0,0,0,0,0,0,,
Braden Looper,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,69,2,0,1,0,0,0,.500,1.500
Aaron Miles,2,6,2,1,0,0,0,0,1,2,.167,.286,.167,.452,1,0,0,135,426,48,112,2,30,2,.263,.672
Yadier Molina,5,17,3,7,2,0,0,1,3,1,.412,.500,.529,1.029,0,0,0,129,417,29,90,6,49,1,.216,.595
Albert Pujols,5,15,3,3,1,0,1,2,5,3,.200,.429,.467,.895,0,1,1,143,535,119,177,49,137,7,.331,1.102
Anthony Reyes,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,18,25,1,3,0,0,0,.120,.240
John Rodriguez,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,102,183,31,55,2,19,0,.301,.806
Scott Rolen,5,19,5,8,3,0,1,2,2,4,.421,.476,.737,1.213,0,0,1,142,521,94,154,22,95,7,.296,.887
Scott Spiezio,2,4,0,0,0,0,0,0,1,1,.000,.200,.000,.200,0,0,,119,276,44,75,13,52,1,.272,.862
Jeff Suppan,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,32,55,4,12,0,6,0,.218,.531
So Taguchi,4,11,3,2,0,0,0,0,1,2,.182,.250,.182,.432,0,0,0,134,316,46,84,2,31,11,.266,.686
Brad Thompson,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,43,2,0,1,0,0,0,.500,1.000
Adam Wainwright,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,61,6,2,3,1,1,0,.500,1.667
Jeff Weaver,2,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*33,30,1,4,0,3,0,.133,.379
Preston Wilson,5,10,1,2,0,0,0,1,3,2,.200,.429,.200,.629,0,0,0,*135,501,58,132,17,72,12,.263,.730
Totals,65,158,22,36,12,0,2,16,23,34,.228,.333,.342,.675,1,1,,161,5522,781,1484,184,,59,.269,.769
