
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jeremy Affeldt,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,75,0,0,0,0,0,0,,
Garrett Atkins,4,13,3,2,1,0,1,2,3,2,.154,.353,.462,.814,0,0,0,157,605,83,182,25,111,3,.301,.853
Jeff Baker,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,,85,144,17,32,4,12,0,.222,.643
Jamey Carroll,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,108,227,45,51,2,22,6,.225,.616
Aaron Cook,1,2,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,25,42,8,10,0,1,0,.238,.629
Manny Corpas,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,78,0,0,0,0,0,0,,
Josh Fogg,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,30,53,3,7,0,1,0,.132,.280
Jeff Francis,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,64,2,12,0,3,0,.188,.446
Brian Fuentes,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,64,0,0,0,0,0,0,,
LaTroy Hawkins,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,62,1,0,0,0,0,0,.000,.000
Brad Hawpe,4,16,1,4,0,1,1,2,1,8,.250,.294,.563,.857,0,0,0,152,516,80,150,29,116,0,.291,.926
Todd Helton,4,15,2,5,2,0,0,1,2,3,.333,.412,.467,.878,0,0,0,154,557,86,178,17,91,0,.320,.928
Matt Herges,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,35,6,0,0,0,0,0,.000,.000
Matt Holliday,4,17,1,5,0,0,1,3,0,3,.294,.294,.471,.765,0,0,0,158,636,120,216,36,137,11,.340,1.012
Ubaldo Jimenez,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,15,24,0,2,0,0,0,.083,.269
Kazuo Matsui,4,17,1,5,1,0,0,0,0,5,.294,.294,.353,.647,1,0,0,104,410,84,118,4,37,32,.288,.746
Franklin Morales,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,8,13,1,4,0,1,0,.308,.665
Seth Smith,2,2,0,1,0,0,0,0,0,1,.500,.500,.500,1.000,0,0,,7,8,4,5,0,0,0,.625,1.500
Ryan Speier,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,20,0,0,0,0,0,0,,
Ryan Spilborghs,4,10,0,0,0,0,0,0,2,4,.000,.167,.000,.167,0,0,0,97,264,40,79,11,51,4,.299,.848
Cory Sullivan,2,3,0,1,0,0,0,0,0,0,.333,.333,.333,.667,0,0,0,72,140,19,40,2,14,2,.286,.721
Willy Taveras,3,8,1,0,0,0,0,0,0,3,.000,.111,.000,.111,0,0,0,97,372,64,119,2,24,33,.320,.748
Yorvit Torrealba,4,14,0,2,0,0,0,1,0,1,.143,.143,.143,.286,0,0,0,113,396,47,101,8,47,2,.255,.699
Troy Tulowitzki,4,13,1,3,2,0,0,1,2,5,.231,.333,.385,.718,0,0,0,155,609,104,177,24,99,7,.291,.838
Totals,62,133,10,29,6,1,3,10,10,36,.218,.283,.346,.629,1,0,,163,5691,860,1591,171,,100,.280,.791
