
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Willy Aybar,4,4,0,1,0,0,0,0,1,1,.250,.400,.250,.650,0,0,0,95,324,33,82,10,33,2,.253,.737
Rocco Baldelli,3,6,1,1,0,0,1,1,1,2,.167,.286,.667,.952,0,0,0,28,80,12,21,4,13,0,.263,.819
Grant Balfour,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,51,1,0,0,0,0,0,.000,.000
Jason Bartlett,5,14,1,3,0,0,0,2,2,2,.214,.313,.214,.527,1,0,0,128,454,48,130,1,37,20,.286,.690
Chad Bradford,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*68,0,0,0,0,0,0,,
Carl Crawford,5,19,4,5,1,0,2,2,0,1,.263,.300,.632,.932,1,0,0,109,443,69,121,8,57,25,.273,.718
Cliff Floyd,1,3,1,1,0,0,0,0,0,0,.333,.333,.333,.667,0,0,,80,246,32,66,11,39,1,.268,.804
Matt Garza,1,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,30,4,0,0,0,0,0,.000,.200
Gabe Gross,1,3,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,*143,345,46,82,13,40,4,.238,.750
Eric Hinske,2,2,1,1,0,0,1,1,0,1,.500,.500,2.000,2.500,0,0,,133,381,59,94,20,60,10,.247,.798
J.P. Howell,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,64,1,0,0,0,0,0,.000,.000
Akinori Iwamura,5,19,1,5,1,0,0,1,1,3,.263,.300,.316,.616,0,0,2,152,627,91,172,6,48,8,.274,.729
Edwin Jackson,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,4,0,0,0,0,0,.000,.200
Scott Kazmir,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,27,2,0,0,0,0,0,.000,.000
Evan Longoria,5,20,0,1,0,0,0,2,0,9,.050,.050,.050,.100,0,0,1,122,448,67,122,27,85,7,.272,.874
Trever Miller,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,68,0,0,0,0,0,0,,
Dioner Navarro,5,17,2,6,1,0,0,0,1,5,.353,.389,.412,.801,0,0,1,120,427,43,126,7,54,0,.295,.757
Carlos Pena,5,17,1,2,1,0,0,2,3,6,.118,.250,.176,.426,0,1,1,139,490,76,121,31,102,1,.247,.871
Fernando Perez,1,0,0,0,0,0,0,0,0,0,,,,,1,0,,23,60,18,15,3,8,5,.250,.781
David Price,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,5,0,0,0,0,0,0,,
James Shields,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,4,2,1,0,1,0,.250,.650
Andy Sonnanstine,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,0,32,5,2,2,0,0,0,.400,.971
B.J. Upton,5,20,3,5,0,0,0,1,0,4,.250,.250,.250,.500,4,0,0,145,531,85,145,9,67,44,.273,.784
Dan Wheeler,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,70,0,0,0,0,0,0,,
Ben Zobrist,4,7,0,1,0,0,0,0,1,0,.143,.250,.143,.393,0,0,0,62,198,32,50,12,30,3,.253,.844
Totals,72,156,15,33,4,0,4,14,10,36,.212,.262,.314,.576,7,1,,162,5541,774,1443,180,,142,.260,.762
