
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Jeremy Affeldt,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,53,1,0,0,0,0,0,.000,.000
Madison Bumgarner,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,20,39,2,7,0,3,0,.179,.425
Pat Burrell,4,13,1,0,0,0,0,0,2,11,.000,.133,.000,.133,0,0,0,*120,373,50,94,20,64,0,.252,.817
Matt Cain,1,3,0,1,0,0,0,0,0,1,.333,.333,.333,.667,0,0,0,35,66,3,7,0,1,0,.106,.241
Santiago Casilla,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,52,0,0,0,0,0,0,,
Mike Fontenot,1,0,0,0,0,0,0,0,0,0,,,,,0,0,,*103,240,24,68,1,25,1,.283,.706
Aubrey Huff,5,17,3,5,2,0,1,4,1,1,.294,.368,.588,.957,0,1,1,157,569,100,165,26,86,7,.290,.891
Travis Ishikawa,2,4,1,1,1,0,0,1,1,1,.250,.400,.500,.900,0,0,1,116,158,18,42,3,22,0,.266,.712
Tim Lincecum,2,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,33,67,2,7,0,5,0,.104,.247
Javier Lopez,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*77,1,0,0,0,0,0,.000,.000
Guillermo Mota,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,56,1,0,0,0,0,0,.000,.000
Buster Posey,5,20,2,6,0,0,1,2,1,6,.300,.333,.450,.783,0,0,0,108,406,58,124,18,67,0,.305,.862
Ramon Ramirez,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*69,0,0,0,0,0,0,,
Edgar Renteria,5,17,6,7,0,0,2,6,0,3,.412,.444,.765,1.209,0,0,1,72,243,26,67,3,22,3,.276,.707
Sergio Romo,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,68,2,0,0,0,0,0,.000,.000
Cody Ross,5,17,5,4,1,0,1,2,4,4,.235,.381,.471,.852,0,0,0,*153,525,71,141,14,65,9,.269,.735
Aaron Rowand,2,4,1,1,0,1,0,2,0,1,.250,.250,.750,1.000,0,0,0,105,331,42,76,11,34,5,.230,.659
Freddy Sanchez,5,22,2,6,3,0,0,3,0,2,.273,.273,.409,.682,0,0,0,111,431,55,126,7,47,3,.292,.739
Jonathan Sanchez,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,34,58,2,8,0,3,0,.138,.325
Pablo Sandoval,1,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,152,563,61,151,13,63,3,.268,.732
Nate Schierholtz,3,5,1,1,0,0,0,1,1,1,.200,.333,.200,.533,0,0,0,137,227,34,55,3,17,4,.242,.676
Andres Torres,5,22,4,7,4,0,1,3,0,4,.318,.348,.636,.984,1,0,0,139,507,84,136,16,63,26,.268,.823
Juan Uribe,5,19,3,3,0,0,1,5,1,7,.158,.200,.316,.516,0,0,1,148,521,64,129,24,85,1,.248,.749
Brian Wilson,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,70,5,0,0,0,0,0,.000,.000
Totals,66,169,29,42,11,1,7,29,11,43,.249,.306,.450,.756,1,1,,162,5488,697,1411,162,,55,.257,.729
