
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Mike Adams,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*77,0,0,0,0,0,0,,
Elvis Andrus,7,29,5,8,1,0,0,0,1,7,.276,.300,.310,.610,0,0,1,150,587,96,164,5,60,37,.279,.708
Adrian Beltre,7,30,5,9,2,0,2,3,0,8,.300,.323,.567,.889,0,0,0,124,487,82,144,32,105,1,.296,.892
Endy Chavez,3,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,83,256,37,77,5,27,10,.301,.749
Nelson Cruz,7,25,5,5,0,0,2,3,5,5,.200,.333,.440,.773,0,0,0,124,475,64,125,29,87,9,.263,.821
Scott Feldman,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,11,0,0,0,0,0,0,,
Neftali Feliz,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,64,0,0,0,0,0,0,,
Craig Gentry,6,5,1,1,0,0,0,0,0,3,.200,.200,.200,.400,0,0,0,64,133,26,36,1,13,18,.271,.693
Esteban German,3,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,11,11,6,5,1,4,1,.455,1.280
Mike Gonzalez,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*56,0,0,0,0,0,0,,
Josh Hamilton,7,29,4,7,2,0,1,6,1,4,.241,.258,.414,.672,0,0,0,121,487,80,145,25,94,8,.298,.882
Matt Harrison,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,31,9,0,0,0,0,0,.000,.000
Derek Holland,2,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,32,0,0,0,0,0,0,,
Ian Kinsler,7,25,2,9,1,0,0,2,7,4,.360,.500,.400,.900,1,3,2,155,620,121,158,32,77,30,.255,.832
Colby Lewis,2,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,32,8,0,1,0,0,0,.125,.375
Mark Lowe,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,52,0,0,0,0,0,0,,
Mitch Moreland,3,10,1,1,0,0,1,1,0,2,.100,.100,.400,.500,0,0,0,134,464,60,120,16,51,2,.259,.733
David Murphy,7,18,1,4,1,0,0,0,4,1,.222,.364,.278,.641,0,0,1,120,404,46,111,11,46,11,.275,.729
Mike Napoli,7,20,2,7,1,0,2,10,6,4,.350,.464,.700,1.164,0,0,1,113,369,72,118,30,75,4,.320,1.046
Alexi Ogando,6,0,0,0,0,0,0,0,0,0,,,,,0,0,0,31,2,0,1,0,0,0,.500,1.000
Darren Oliver,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,61,0,0,0,0,0,0,,
Yorvit Torrealba,3,5,0,2,0,0,0,0,1,2,.400,.500,.400,.900,0,0,0,113,396,40,108,7,37,0,.273,.705
C.J. Wilson,3,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,1,34,4,1,1,0,0,0,.250,1.000
Michael Young,7,27,3,7,4,0,1,5,1,7,.259,.276,.519,.794,0,0,2,159,631,88,213,11,106,6,.338,.854
Totals,109,236,30,60,12,0,9,30,26,51,.254,.326,.419,.745,1,3,,162,5659,855,1599,210,,143,.283,.800
