
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Matt Adams,6,22,0,3,1,0,0,0,0,7,.136,.136,.182,.318,0,0,0,108,296,46,84,17,51,0,.284,.839
John Axford,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,*75,0,0,0,0,0,0,,
Carlos Beltran,6,17,1,5,0,0,0,3,2,2,.294,.400,.294,.694,0,0,0,145,554,79,164,24,84,2,.296,.830
Matt Carpenter,6,27,3,8,1,0,0,2,0,6,.296,.286,.333,.619,0,0,2,157,626,126,199,11,78,3,.318,.873
Randy Choate,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,64,0,0,0,0,0,0,,
Allen Craig,6,16,1,6,1,0,0,0,1,2,.375,.412,.438,.849,0,0,0,134,508,71,160,13,97,2,.315,.830
Daniel Descalso,4,10,2,1,0,0,0,0,2,2,.100,.250,.100,.350,0,0,0,123,328,43,78,5,43,6,.238,.656
David Freese,6,19,0,3,1,0,0,0,3,7,.158,.273,.211,.483,0,0,1,138,462,53,121,9,60,1,.262,.721
Matt Holliday,6,24,4,6,1,1,2,5,1,5,.250,.280,.625,.905,0,0,0,141,520,103,156,22,94,6,.300,.879
Jon Jay,6,18,1,3,0,0,0,0,3,2,.167,.286,.167,.452,1,0,0,157,548,75,151,7,67,10,.276,.721
Joe Kelly,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,40,33,4,5,0,2,0,.152,.353
Pete Kozma,4,10,1,0,0,0,0,0,0,1,.000,.000,.000,.000,1,0,2,143,410,44,89,1,35,3,.217,.548
Lance Lynn,2,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,33,54,1,4,0,2,0,.074,.212
Seth Maness,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,66,5,0,1,0,0,0,.200,.400
Carlos Martinez,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,21,2,0,0,0,0,0,.000,.000
Yadier Molina,6,23,0,7,1,0,0,2,1,3,.304,.333,.348,.681,0,0,0,136,505,68,161,12,80,3,.319,.836
Shane Robinson,4,8,1,2,1,0,0,0,0,2,.250,.250,.375,.625,0,0,0,99,144,22,36,2,16,5,.250,.664
Trevor Rosenthal,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,74,1,0,0,0,0,0,.000,.000
Kevin Siegrist,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,45,1,0,0,0,0,0,.000,.000
Michael Wacha,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,15,21,0,3,0,3,0,.143,.286
Adam Wainwright,2,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,35,71,4,15,0,6,0,.211,.476
Kolten Wong,2,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,32,59,6,9,0,0,3,.153,.363
Totals,92,201,14,45,7,1,2,12,13,43,.224,.273,.299,.572,3,0,,162,5557,783,1494,125,,45,.269,.733
