
,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,Playoff Series Stats,,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats,Regular Season Stats
Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,G,AB,R,H,HR,RBI,SB,BA,OPS
Quintin Berry,1,0,0,0,0,0,0,0,0,0,,,,,1,0,,13,8,5,5,1,4,3,.625,1.667
Xander Bogaerts,6,21,2,5,0,1,0,2,1,8,.238,.261,.333,.594,0,0,1,18,44,7,11,1,5,1,.250,.684
Craig Breslow,3,0,0,0,0,0,0,0,0,0,,,,,0,0,1,61,0,0,0,0,0,0,,
Clay Buchholz,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,16,0,0,0,0,0,0,,
Mike Carp,2,2,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,,86,216,34,64,9,43,1,.296,.885
Ryan Dempster,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,32,0,0,0,0,0,0,,
Felix Doubront,2,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,29,3,0,0,0,0,0,.000,.000
Stephen Drew,6,19,3,3,0,0,1,2,1,7,.158,.190,.316,.506,0,0,0,124,442,57,112,13,67,6,.253,.777
Jacoby Ellsbury,6,24,4,6,1,0,0,1,2,6,.250,.308,.292,.599,0,0,2,134,577,92,172,9,53,52,.298,.781
Jonny Gomes,6,17,2,2,0,0,1,3,3,4,.118,.286,.294,.580,0,0,1,116,312,49,77,13,52,1,.247,.771
John Lackey,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,29,5,0,0,0,0,0,.000,.000
Jon Lester,2,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,33,6,0,0,0,0,0,.000,.000
Will Middlebrooks,1,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,1,94,348,41,79,17,49,3,.227,.696
Mike Napoli,5,13,0,2,1,0,0,4,1,6,.154,.214,.231,.445,0,0,0,139,498,79,129,23,92,1,.259,.842
Daniel Nava,5,14,1,2,1,0,0,2,0,4,.143,.143,.214,.357,0,0,0,134,458,77,139,12,66,0,.303,.831
David Ortiz,6,16,7,11,2,0,2,6,8,1,.688,.760,1.188,1.948,0,0,0,137,518,84,160,30,103,4,.309,.959
Jake Peavy,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,*23,15,1,1,0,0,0,.067,.200
Dustin Pedroia,6,24,5,5,2,0,0,1,1,4,.208,.240,.292,.532,0,0,1,160,641,91,193,9,84,17,.301,.787
David Ross,4,16,1,3,1,0,0,1,0,8,.188,.188,.250,.438,0,0,0,36,102,11,22,4,10,1,.216,.681
Jarrod Saltalamacchia,2,6,0,0,0,0,0,0,2,4,.000,.250,.000,.250,0,0,1,121,425,68,116,14,65,4,.273,.804
Junichi Tazawa,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,71,0,0,0,0,0,0,,
Koji Uehara,5,0,0,0,0,0,0,0,0,0,,,,,0,0,0,73,0,0,0,0,0,0,,
Shane Victorino,4,13,2,2,1,0,0,4,2,2,.154,.313,.231,.543,0,0,0,122,477,82,140,15,61,21,.294,.801
Brandon Workman,3,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,20,0,0,0,0,0,0,,
Totals,86,194,27,41,9,1,4,27,21,59,.211,.291,.330,.621,1,0,,162,5651,853,1566,178,,123,.277,.795
